,modname,delta.AICc,wi.AICc,r2.vals,edf,AICc,BIC,r2.vals.unique,formula,edf.less.1,delta.BIC,wi.BIC,mean.relief,sd.relief,log.sponges,broad.macroalgae,broad.reef,distance.to.ramp,aspect,log.tpi,log.roughness,log.slope,depth,status
smaller than legal size.log.roughness+log.tpi.by.status+status,log.roughness+log.tpi.by.status+status,1.22,0.276,2.00E-05,15.74,618.9534244,650.8285788,NA,"s(log.roughness, k = 5, bs = ""cr"") + s(log.tpi, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",1,4.308,0.076,0,0,0,0,0,0,0,1,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
fished greater than 20 cm,log.roughness.by.status+mean.relief+status,0,0.674,0.02689,15,968.7836222,1000.658777,NA,"s(mean.relief, k = 5, bs = ""cr"") + s(log.roughness, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",0,0,0.386,1,0,0,0,0,0,0,0,1,0,0,1
fished greater than 30 cm,log.slope.by.status+mean.relief+status,0,0.967,0.04086,15.02,810.9171819,842.7923362,NA,"s(mean.relief, k = 5, bs = ""cr"") + s(log.slope, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",2,0,0.997,1,0,0,0,0,0,0,0,0,1,0,1
sublegal size pink snapper.depth.by.status+log.slope.by.status+status,depth.by.status+log.slope.by.status+status,0,0.245,0.04272,19.01,346.8459834,384.8260679,NA,"s(depth, by = status, k = 5, bs = ""cr"") + s(log.slope, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",6,16.503,0,0,0,0,0,0,0,0,0,0,1,1,1
sublegal size pink snapper.log.slope.by.status+mean.relief+status,log.slope.by.status+mean.relief+status,0.685,0.174,0.04432,15,347.5312392,379.4063935,NA,"s(mean.relief, k = 5, bs = ""cr"") + s(log.slope, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",2,11.083,0.002,1,0,0,0,0,0,0,0,0,1,0,1
sublegal size pink snapper.log.slope.by.status+mean.relief.by.status+status,log.slope.by.status+mean.relief.by.status+status,1.125,0.14,0.05156,19,347.9714291,385.9515136,NA,"s(log.slope, by = status, k = 5, bs = ""cr"") + s(mean.relief, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",2,17.628,0,1,0,0,0,0,0,0,0,0,1,0,1
sublegal size pink snapper.depth.by.status+log.slope+status,depth.by.status+log.slope+status,1.965,0.092,0.03672,15,348.811259,380.6864133,NA,"s(log.slope, k = 5, bs = ""cr"") + s(depth, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",6,12.363,0.001,0,0,0,0,0,0,0,0,0,1,1,1
