"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mean.relief","sd.relief","log.sponges","broad.macroalgae","broad.reef","distance.to.ramp","aspect","log.tpi","log.roughness","log.slope","depth","status","planned.or.exploratory","cumsum.wi"
"broad.macroalgae+distance.to.ramp+log.slope","broad.macroalgae+distance.to.ramp+log.slope",416.77768266403,441.722347446475,0.13409,NA,13,3,2.661,5.955,0.07,0.007,0,0,0,1,0,1,0,0,0,1,0,0,0,0.333
"distance.to.ramp+log.roughness+mean.relief","distance.to.ramp+log.roughness+mean.relief",416.840541209413,441.785205991858,0.07777,NA,13,2,2.724,6.018,0.067,0.007,1,0,0,0,0,1,0,0,1,0,0,0,0,0.4
"aspect.by.status+broad.reef.by.status+status","aspect.by.status+broad.reef.by.status+status",2246.87925943843,2280.77716195359,0.00354,NA,18.03,0,0,0,0.979,0.979,0,0,0,0,1,0,1,0,0,0,0,1,0,0.979
"depth.by.status+mean.relief+status","depth.by.status+mean.relief+status",872.435124604254,900.389755601387,0.33542,NA,16.47,4,0,1.771,0.533,0.182,1,0,0,0,0,0,0,0,0,0,1,1,0,0.533
"depth.by.status+mean.relief.by.status+status","depth.by.status+mean.relief.by.status+status",873.910833914778,907.808736429946,0.33873,NA,20.71,5,1.476,9.19,0.255,0.004,1,0,0,0,0,0,0,0,0,0,1,1,0,0.788
"null","null",81.20552661905,87.5803042032726,0,NA,1,0,0,0,0.061,0.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061
"log.sponges","log.sponges",81.5761462021352,94.2353472802263,0.01982,NA,5,2,0.371,6.655,0.05,0.027,0,0,1,0,0,0,0,0,0,0,0,0,0,0.111
"log.sponges+sd.relief","log.sponges+sd.relief",82.5168320752082,101.367056913319,0.00664,NA,10.08,5,1.311,13.787,0.031,0.001,0,1,1,0,0,0,0,0,0,0,0,0,0,0.142
"planned.or.exploratory","planned.or.exploratory",83.0637226963704,92.5921934865225,0.00916,NA,2,0,1.858,5.012,0.024,0.062,0,0,0,0,0,0,0,0,0,0,0,0,1,0.166
"broad.reef+log.sponges","broad.reef+log.sponges",83.116082236922,101.966307075032,0.00061,NA,9.25,4,1.911,14.386,0.023,0.001,0,0,1,0,1,0,0,0,0,0,0,0,0,0.189
"sd.relief","sd.relief",83.2425438521994,95.9017449302905,2e-04,NA,6.06,3,2.037,8.321,0.022,0.012,0,1,0,0,0,0,0,0,0,0,0,0,0,0.211
"status","status",83.2493633096815,92.7778340998336,0.00182,NA,2,0,2.044,5.198,0.022,0.057,0,0,0,0,0,0,0,0,0,0,0,1,0,0.233
"log.sponges+mean.relief","log.sponges+mean.relief",83.3298528181611,102.180077656272,6e-05,NA,9.54,4,2.124,14.6,0.021,0.001,1,0,1,0,0,0,0,0,0,0,0,0,0,0.254
"log.tpi","log.tpi",83.5682635658169,96.227464643908,5e-04,NA,5,2,2.363,8.647,0.019,0.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0.273
"log.sponges+planned.or.exploratory","log.sponges+planned.or.exploratory",83.5969327209764,99.3635163156418,0.03017,NA,6,2,2.391,11.783,0.018,0.002,0,0,1,0,0,0,0,0,0,0,0,0,1,0.291
"log.sponges+status","log.sponges+status",83.6755584722907,99.4421420669561,0.01568,NA,6,2,2.47,11.862,0.018,0.002,0,0,1,0,0,0,0,0,0,0,0,1,0,0.309
"broad.macroalgae+log.sponges","broad.macroalgae+log.sponges",84.0172859068517,102.867510744962,0.00618,NA,9,4,2.812,15.287,0.015,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.324
"log.slope.by.status+mean.relief.by.status+status","log.slope.by.status+mean.relief.by.status+status",1504.67948356811,1538.57738608328,0.01569,NA,18,2,0,0,0.995,0.98,1,0,0,0,0,0,0,0,0,1,0,1,0,0.995
