"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Up","fov.Limited","fov.Open","rowid","detailed.Consolidated.Cobbles.No biota","detailed.Consolidated.Cobbles.Turf mat","detailed.Consolidated.Rock.No biota","detailed.Consolidated.Rock.Turf mat","detailed.Consolidated.Rock.Veneer","detailed.Macroalgae.Articulated calcareous.","detailed.Macroalgae.Encrusting.Red","detailed.Macroalgae.Erect course branching.Brown","detailed.Macroalgae.Erect course branching.Green","detailed.Macroalgae.Erect course branching.Red","detailed.Macroalgae.Erect fine branching.Green","detailed.Macroalgae.Erect fine branching.Red","detailed.Macroalgae.Filamentous and filiform.","detailed.Macroalgae.Laminate.","detailed.Macroalgae.Large canopy-forming.Ecklonia radiata","detailed.Macroalgae.Large canopy-forming.Scytothalia dorycarpa","detailed.Macroalgae.Sheet-like membranous.","detailed.Macroalgae.Small mixed.","detailed.Octocoral/Black.Fan (2D).","detailed.Octocoral/Black.Massive soft corals.","detailed.Octocoral/Black.Whip.","detailed.Seagrasses.Strap-like leaves.Thalassodendrum sp.","detailed.Sponges.Crusts.","detailed.Sponges.Erect forms.","detailed.Sponges.Hollow forms.","detailed.Sponges.Massive forms.","detailed.Sponges.Small mixed.","detailed.Stony corals.Branching.Live","detailed.Stony corals.Columnar.Live","detailed.Stony corals.Foliose / plate.Live","detailed.Stony corals.Sub-massive.Live","detailed.Stony corals.Tabulate.Live","detailed.Unconsolidated.Pebble / gravel (gravel 2-10mm).","detailed.Unconsolidated.Pebble.gravel (gravel 2-10mm)","detailed.Unconsolidated.Pebble.gravel (pebble 10-64mm)","detailed.Unconsolidated.Sand.mud (coarse sand)"
"IO272",-34.00868897,114.8138721,20201019,06:56:00,"C.IO.21","South-west",NA,0,0,100,104057,0,0,0,0.00384341910563637,0,0,0,0,0,0,0.00192170955281819,0.00672598343486365,0,0,0.00192170955281819,0,0,0,0,0,0,0,0,0,0,0.000960854776409094,0,0,0,0,0,0,0,0,0,0.000960854776409094
"FH44",-33.77118897,114.8638721,20201017,11:28:00,"C.FH.10","South-west","Yes",0,5.26315789473684,94.7368421052632,80836,0,0,0,0.00370979509565088,0,0.00123659836521696,0,0.00123659836521696,0,0,0,0,0.00494639346086784,0,0,0,0,0,0,0,0,0.0123659836521696,0,0,0,0.00123659836521696,0.00123659836521696,0,0,0,0,0,0,0,0,0.0123659836521696
"FH20",-33.78618897,114.8738721,20201017,11:40:00,"C.FH.11","South-west","Yes",0,0,100,75495,0,0,0,0.0105925190334326,0,0,0,0.00132406487917908,0,0,0,0,0,0,0,0,0,0.0119165839126117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015888778550149
"FH7",-33.78368897,114.8788721,20201017,11:45:00,"C.FH.11","South-west","Yes",0,7.5,92.5,81246,0,0,0,0.00615218033270991,0,0,0,0.0073826163992519,0.00123043606654198,0,0,0.0073826163992519,0,0,0,0,0,0,0,0,0,0.00492174426616793,0,0.00123043606654198,0,0.00246087213308397,0.00123043606654198,0,0,0,0,0,0,0,0,0
"FH34",-33.78618897,114.8838721,20201017,11:51:00,"C.FH.11","South-west","Yes",0,5.12820512820513,94.8717948717949,76976,0,0,0.00129861697292384,0.0129861697292384,0,0,0,0.00649308486461918,0.00129861697292384,0,0,0.00129861697292384,0,0,0,0,0,0,0,0,0,0.00259723394584767,0,0,0,0.00259723394584767,0.00259723394584767,0,0,0,0,0,0,0,0,0.00649308486461918
"FH18",-33.79118897,114.8213721,20201012,13:19:00,"C.FH.12","South-west","Yes",0,5,95,73483,0.00136045166995442,0.00136045166995442,0.00136045166995442,0,0,0,0,0.00272090333990885,0,0,0,0.00952316168968097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136045166995442
"FH26",-33.81118897,114.8288721,20201012,15:10:00,"C.FH.13","South-west","Yes",0,30,70,3689,0,0,0,0.0540102619497705,0,0,0,0,0,0,0,0.270051309748852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540102619497705,0,0,0,0,0,0,0,0,0,0
"FH27",-33.83618897,114.8713721,20201012,15:39:00,"C.FH.14","South-west","Yes",0,10,90,76226,0,0,0.00918044826817401,0.00262298521947829,0,0,0,0.00131149260973914,0,0,0,0.00524597043895658,0,0,0.00131149260973914,0,0,0,0,0,0,0.00131149260973914,0,0,0,0.00524597043895658,0,0,0,0,0,0,0,0,0,0.00393447782921743
"IO333",-34.11301667,114.7251333,20201022,10:01:00,"C.IO.9","South-west","Yes",0,2.5,97.5,164214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000608839126437621,0,0,0,0,0,0,0,0,0,0,0,0.0194828520460039
"IO332",-34.09718333,114.7344833,20201022,10:33:00,"C.IO.10","South-west","Yes",0,7.5,92.5,172735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202581466689819
"IO319",-34.09368897,114.7313721,20201022,10:37:00,"C.IO.10","South-west","Yes",0,2.5,97.5,148877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000671542062037056,0,0,0,0,0,0,0,0,0,0.0221608880472228
"IO337",-34.00536667,114.8202333,20201019,07:02:00,"C.IO.21","South-west","Yes",0,7.5,92.5,180751,0,0,0,0.000553134057570193,0,0,0,0,0,0,0,0,0,0,0.0193596920149567,0,0,0,0,0,0,0,0,0,0,0,0.000553134057570193,0,0,0,0,0,0,0,0,0
"IOREDO344",-34.0844,114.6744,20201123,07:12:00,"C.IO.14","South-west","Yes",0,20,80,44161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294290759270159
"IO269",-33.98868897,114.8138721,20201019,07:18:00,"C.IO.22","South-west","Yes",0,10,90,133326,0,0,0,0,0,0,0,0.00074987814480147,0,0,0,0.00524914701361029,0,0,0.00899853773761764,0,0,0.00224963443440441,0,0,0,0,0,0.00074987814480147,0,0.00299951257920588,0,0,0,0,0,0,0,0,0,0.00074987814480147
"IO300",-34.08618897,114.6688721,20201123,07:18:00,"C.IO.14","South-west","Yes",0,10,90,147252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135793919148301,0,0,0,0,0,0,0,0,0,0.0190111486807621
"IO58",-34.13618897,114.7738721,20201022,07:21:00,"C.IO.69","South-west","Yes",0,15,85,107385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279324407366716,0,0,0,0,0,0,0.000931081357889052,0,0,0,0,0,0,0,0,0,0.0121040576525577
"IO343",-34.10261667,114.6407167,20201123,07:38:00,"C.IO.15","South-west","Yes",0,7.5,92.5,183122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109194743365054,0,0,0,0,0,0,0,0,0,0.0191090800888845
"IO62",-34.13368897,114.7663721,20201022,07:45:00,"C.IO.69","South-west","Yes",0,2.5,97.5,183333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196325442141256
"IO282",-34.14618897,114.5438721,20201029,07:20:00,"C.IO.18","South-west","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO278",-34.11118897,114.6388721,20201123,07:45:00,"C.IO.15","South-west","Yes",0,2.5,97.5,155052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000644795213040338,0,0,0,0,0,0,0,0,0,0.0225678324564118
"IO277",-34.10618897,114.6463721,20201123,07:53:00,"C.IO.15","South-west","Yes",0,7.5,92.5,142035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00492718327010115,0,0,0,0,0.000703883324300164,0,0,0,0,0,0,0,0,0,0,0,0.0183009664318043
"IO110",-34.14118897,114.7288721,20201022,08:00:00,"C.IO.68","South-west","Yes",0,10,90,114726,0,0,0,0,0,0,0,0,0,0,0,0.0017427523287528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287554134244212
"IO98",-34.13368897,114.7313721,20201022,08:13:00,"C.IO.68","South-west","Yes",0,7.5,92.5,188171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000531343981466722,0,0,0,0,0,0,0,0,0,0,0,0.0159403194440017
"IO95",-34.12618897,114.7338721,20201022,08:21:00,"C.IO.68","South-west","Yes",0,5,95,209985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180932564528647
"IO264",-34.01868897,114.8738721,20201019,09:31:00,"C.IO.19","South-west","Yes",0,12.1212121212121,87.8787878787879,126541,0,0,0,0.00790070395272219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000790070395272219,0,0,0,0.000790070395272219,0,0,0,0,0,0,0.000790070395272219,0,0,0.0134311967196277
"IO339",-34.01461667,114.8785,20201019,09:41:00,"C.IO.19","South-west","Yes",0,2.5,97.5,164157,0,0,0.000609043071526018,0.00243617228610407,0,0.000609043071526018,0,0.00243617228610407,0,0,0.00121808614305204,0.00426330150068213,0,0,0.00304521535763009,0,0,0,0,0,0.000609043071526018,0.000609043071526018,0,0,0,0.00182712921457806,0.00365425842915611,0,0,0,0,0,0,0,0,0
"IO352",-34.03618897,114.5988721,20201123,09:43:00,"C.IO.27","South-west","Yes",0,0,100,155537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128562796497949,0.000642813982489747,0,0.000642813982489747,0.00128562796497949,0,0,0,0,0,0,0,0,0.0147847215972642
"IO323",-34.03103333,114.6001,20201123,09:48:00,"C.IO.27","South-west","Yes",0,5,95,165817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000602950841417899,0,0.0012059016828358,0,0,0,0,0,0,0,0,0,0.0186914760839549
"IO263",-34.00868897,114.8788721,20201019,09:52:00,"C.IO.19","South-west","Yes",0,7.5,92.5,142341,0,0,0,0.00210711150131694,0,0,0,0,0,0,0.00140474100087796,0.00913081650570676,0,0,0,0,0,0,0,0,0,0.00842844600526778,0,0.000702370500438982,0,0.000702370500438982,0,0,0,0,0,0,0,0,0,0.00140474100087796
"IO307",-34.11868897,114.7263721,20201022,09:56:00,"C.IO.9","South-west","Yes",0,5,95,140606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007110554907705,0,0,0,0,0,0,0,0,0,0.0206206092323445
"IO350",-34.02618897,114.6038721,20201123,09:56:00,"C.IO.27","South-west","Yes",0,2.5,97.5,173700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057558594649353,0,0,0,0,0,0,0,0,0.0201455081272736
"IO369",-34.02868897,114.5913721,20201123,10:08:00,"C.IO.27","South-west","Yes",0,7.5,92.5,141185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141634031825167,0,0,0,0,0,0,0,0,0,0.0155797435007684
"IO37",-34.10868897,114.7188721,20201022,10:12:00,"C.IO.55","South-west","Yes",0,7.5,92.5,160335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000623581352423237,0.000623581352423237,0,0,0,0,0,0,0,0,0.0168366965154274
"IO351",-34.03118897,114.5963721,20201123,10:13:00,"C.IO.27","South-west","Yes",0,12.5,87.5,164761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188115927957668
"IO40",-34.10368897,114.7138721,20201022,10:17:00,"C.IO.55","South-west","Yes",0,10.2564102564103,89.7435897435898,168177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190239523449994
"IOCP2311",-34.01858,114.601465,20201123,10:19:00,"C.IO.46","South-west","Yes",0,10.5263157894737,89.4736842105263,57494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295595625184747
"FH37",-33.71118897,114.8138721,20201012,11:03:00,"C.FH.6","South-west","Yes",0,12.5,87.5,80369,0,0,0.00373157534672554,0.0124385844890851,0,0,0,0.00621929224454257,0,0,0.00124385844890851,0,0,0,0.00124385844890851,0,0,0,0,0,0,0.00124385844890851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621929224454257
"IO338",-33.97231667,114.92245,20201019,11:50:00,"C.IO.20","South-west","Yes",0,13.5135135135135,86.4864864864865,148815,0,0,0.000671835319726429,0,0,0,0,0.00201550595917929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000671835319726429,0,0,0,0,0,0,0,0,0,0.0174677183128871
"IO253",-34.01368897,114.7038721,20201123,12:15:00,"C.IO.49","South-west","Yes",0,15,85,34357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00290917553965206,0,0,0,0,0,0,0,0,0,0.046546808634433
"IO364",-34.00868897,114.6888721,20201123,12:21:00,"C.IO.24","South-west","Yes",0,5,95,182099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109809864220103,0.000549049321100514,0,0,0,0,0,0,0,0,0.0170205289541159
"IO180",-33.99618897,114.7038721,20201123,12:36:00,"C.IO.41","South-west","Yes",0,5,95,136755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277791992280307
"IOCP11-1",-33.992845,114.696642,20201123,12:39:00,"C.IO.41","South-west","Yes",0,7.5,92.5,193072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000517855663269533,0,0,0,0,0,0,0,0,0,0.0160535255613555
"IOCP11-2",-33.974332,114.692773,20201123,12:47:00,NA,"South-west","Yes",0,2.5,97.5,131358,0,0,0,0,0.00152226695995677,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00228340043993515,0,0,0,0,0.00532793435984869,0.000761133479978384,0.00837246827976222,0,0,0,0,0,0,0,0,0,0.000761133479978384
"IO164",-34.03368897,114.9038721,20201016,07:14:00,"C.IO.62","South-west","Yes",0,2.56410256410256,97.4358974358974,71111,0,0,0.00281147644685607,0.00140573822342803,0,0,0,0,0,0,0,0.00562295289371213,0.0042172146702841,0,0,0,0,0.00281147644685607,0,0,0,0.00702869111714017,0.00281147644685607,0,0,0.00281147644685607,0,0,0,0,0,0,0,0,0,0.00702869111714017
"IO184",-34.04118897,114.9038721,20201016,07:19:00,"C.IO.62","South-west","Yes",0,7.5,92.5,119578,0,0,0,0.00167207303615022,0,0,0,0.000836036518075109,0,0,0,0.00836036518075109,0,0.000836036518075109,0,0,0,0,0,0,0,0,0,0.00334414607230044,0,0.00418018259037555,0.00334414607230044,0,0,0,0,0,0,0,0,0.00585225562652577
"IO165",-34.04368897,114.8988721,20201016,07:23:00,"C.IO.62","South-west","Yes",0,0,100,87135,0,0,0,0.00344198533714246,0,0,0,0,0,0,0,0.0229465689142831,0,0,0,0,0,0,0,0,0,0,0,0.00114732844571415,0,0,0,0,0,0,0,0,0,0,0,0
"IO374",-33.98618897,114.7463721,20201015,07:31:00,"C.IO.25","South-west","Yes",0,17.5,82.5,48918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00613170911171974,0,0,0,0,0.00204390303723991,0,0.00204390303723991,0.00204390303723991,0,0,0,0,0,0,0,0,0.00408780607447983
"IO361",-33.98868897,114.7413721,20201015,07:35:00,"C.IO.25","South-west","Yes",0,2.5,97.5,110496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018096763393867,0,0,0,0,0,0,0,0,0,0,0,0.0171919252241737
"IO155",-34.04368897,114.8838721,20201016,07:42:00,"C.IO.65","South-west","Yes",0,5,95,119915,0,0,0,0.00333488961515374,0,0,0,0.000833722403788435,0,0,0,0.0125058360568265,0,0,0.0025011672113653,0,0,0,0,0,0,0,0,0.000833722403788435,0,0,0.000833722403788435,0,0,0,0,0,0,0,0,0.00333488961515374
"IO325",-33.991557,114.743378,20201015,07:44:00,"C.IO.25","South-west","Yes",0,5,95,128024,0,0,0.000780951042179166,0,0.0023428531265375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023428531265375,0,0,0,0,0,0,0,0,0,0,0,0.014057118759225
"IOC06",-34.048689,114.876372,20201016,07:48:00,"C.IO.65","South-west","Yes",0,33.3333333333333,66.6666666666667,46767,0,0,0,0.00427523994784207,0,0,0,0,0,0,0,0.00213761997392104,0,0,0,0,0,0,0,0,0,0.0213761997392104,0,0,0,0,0.00213761997392104,0,0,0,0,0,0,0,0,0
"IO266",-34.02118897,114.7588721,20201015,08:06:00,"C.IO.23","South-west","Yes",0,2.5,97.5,136418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197881930448166
"IO327",-34.02946667,114.7623833,20201015,08:17:00,"C.IO.23","South-west","Yes",0,0,100,58039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051680476838533,0,0,0,0,0.00172268256128443,0,0.0051680476838533,0.0051680476838533,0,0,0,0,0,0,0,0,0
"IO210",-34.09118897,114.8738721,20201016,10:09:00,"C.IO.6","South-west","Yes",0,5,95,127639,0,0,0,0.00234984491023592,0,0,0,0.00313312654698123,0,0.00156656327349062,0,0.00548297145721716,0,0,0.00234984491023592,0,0,0,0,0,0,0.000783281636745308,0.00313312654698123,0,0,0,0.00156656327349062,0,0,0,0,0,0,0,0,0.00234984491023592
"IO17",-34.06368897,114.8763721,20201016,08:07:00,"C.IO.35","South-west",NA,0,0,100,107510,0,0,0,0.000929973030782107,0,0,0,0.00278991909234632,0,0,0,0.00557983818469264,0.000929973030782107,0.00278991909234632,0,0,0,0.00278991909234632,0,0,0,0,0,0,0,0,0.000929973030782107,0,0,0,0,0,0,0,0,0.00185994606156421
"IO334",-34.06155,114.7753667,20201015,10:11:00,"C.IO.8","South-west","Yes",0,5,95,174145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200941554713515
"IO267",-34.02618897,114.7638721,20201015,08:11:00,"C.IO.23","South-west",NA,0,0,100,42637,0,0,0,0.0023449957790076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140699746740456
"IO312",-34.05868897,114.7788721,20201015,10:17:00,"C.IO.8","South-west","Yes",0,7.5,92.5,95846,0,0,0,0.00312933543346511,0,0,0,0,0.00104311181115504,0,0,0.00312933543346511,0,0,0.00104311181115504,0,0,0,0,0,0,0,0,0.00208622362231008,0,0.00208622362231008,0,0,0,0,0,0,0,0,0,0.00938800630039534
"IO81",-34.09868897,114.8913721,20201016,10:20:00,"C.IO.52","South-west","Yes",0,0,100,64830,0,0,0,0.0015420200462606,0,0,0,0.00771010023130301,0,0,0,0.00925212027756361,0,0,0.0015420200462606,0,0,0,0,0,0,0.0030840400925212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00771010023130301
"IO158",-33.98118897,114.8188721,20201013,10:21:00,"C.IO.33","South-west","Yes",0,6.66666666666667,93.3333333333333,23355,0,0,0,0.0213949507916132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00427899015832264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385109114249037
"IO207",-34.06118897,114.7863721,20201015,10:23:00,"C.IO.7","South-west","Yes",0,5,95,112175,0,0,0,0.00356499884137538,0,0,0,0,0.00178249942068769,0,0,0.00623874797240691,0,0,0,0,0,0,0,0,0,0,0,0,0.000891249710343844,0,0,0,0,0,0,0,0,0,0,0.01158624623447
"IO145",-33.98618897,114.8238721,20201013,10:24:00,"C.IO.22","South-west","Yes",0,7.69230769230769,92.3076923076923,122257,0,0,0,0.00163545670128383,0,0,0,0.0114481969089868,0,0.000817728350641917,0.00408864175320958,0.00245318505192575,0,0.000817728350641917,0.00163545670128383,0,0,0,0,0,0,0.00163545670128383,0,0.00163545670128383,0,0,0,0,0,0,0,0,0,0,0,0.000817728350641917
"IO91",-34.09368897,114.8938721,20201016,10:25:00,"C.IO.52","South-west","Yes",0,10,90,146018,0,0,0,0.000684753283391994,0,0,0,0.00273901313356798,0,0,0.000684753283391994,0.00616277955052794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342376641695997
"IO80",-34.09368897,114.8888721,20201016,10:30:00,"C.IO.52","South-west","Yes",0,12.5,87.5,188596,0,0,0,0.00159043196132069,0,0,0,0.0010602879742138,0,0,0,0.00848230379371037,0,0,0,0,0,0,0,0,0,0.00477129588396208,0,0.000530143987106898,0,0,0.000530143987106898,0,0,0,0,0,0,0,0,0
"IO335",-34.06686667,114.7939833,20201015,10:31:00,"C.IO.7","South-west","Yes",0,7.5,92.5,109579,0,0,0,0.00821130422882168,0.000912367136535742,0,0,0,0.00182473427307148,0,0.000912367136535742,0,0,0,0.00364946854614297,0,0,0,0,0,0,0.000912367136535742,0.000912367136535742,0.00182473427307148,0,0.00182473427307148,0.00273710140960723,0,0,0,0,0,0,0,0,0
"IO204",-34.06618897,114.7863721,20201015,10:35:00,"C.IO.7","South-west","Yes",0,5,95,97557,0,0,0,0,0,0,0,0,0,0,0,0.003074179962495,0,0,0,0,0,0,0,0,0,0,0,0.00204945330833,0,0.00409890661666001,0.001024726654165,0,0,0,0,0,0,0.001024726654165,0,0.019469806429135
"IO3",-34.07618897,114.7838721,20201015,12:03:00,"C.IO.43","South-west","Yes",0,0,100,150209,0,0,0,0.00399350390032214,0,0,0,0,0,0.000665583983387024,0.000665583983387024,0.00798700780064428,0,0,0,0,0,0,0,0,0,0,0,0.000665583983387024,0,0.00532467186709619,0.00199675195016107,0,0,0,0,0,0,0,0,0.00199675195016107
"FH32",-33.69618897,114.9463721,20201017,08:50:00,"C.FH.5","South-west",NA,0,0,100,76810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00260314981127164,0,0.00260314981127164,0,0,0,0,0,0,0,0,0,0.0208251984901731
