"sample","latitude","longitude","date","time","site","location","successful.count","fov.Limited","fov.Open","rowid","detailed.Consolidated.Cobbles.No biota","detailed.Consolidated.Cobbles.Turf mat","detailed.Consolidated.Rock.No biota","detailed.Consolidated.Rock.Turf mat","detailed.Consolidated.Rock.Veneer","detailed.Macroalgae.Articulated calcareous.","detailed.Macroalgae.Encrusting.Brown","detailed.Macroalgae.Encrusting.Red","detailed.Macroalgae.Erect course branching.Brown","detailed.Macroalgae.Erect course branching.Red","detailed.Macroalgae.Erect fine branching.Brown","detailed.Macroalgae.Erect fine branching.Green","detailed.Macroalgae.Erect fine branching.Red","detailed.Macroalgae.Large canopy-forming.Ecklonia radiata","detailed.Macroalgae.Large canopy-forming.Scytothalia dorycarpa","detailed.Macroalgae.Small mixed.","detailed.Seagrasses.Strap-like leaves.Thalassodendrum sp.","detailed.Seagrasses.Strap-like leaves.Thalassodendrum sp. with epiphytes algae","detailed.Sponges.Crusts.","detailed.Sponges.Erect forms.","detailed.Sponges.Hollow forms.","detailed.Sponges.Massive forms.","detailed.Sponges.Small mixed.","detailed.Unconsolidated.Pebble.gravel (pebble 10-64mm)","detailed.Unconsolidated.Sand.mud (coarse sand)"
"26",34.120881,114.828907,20200603,09:02:00,1,"SouthWest","Y",0,100,26321,0,0,0.00379377062862779,0.0417314769149057,0.00758754125725559,0.00379377062862779,0,0.0151750825145112,0.0151750825145112,0,0,0,0.0151750825145112,0,0,0,0,0,0,0.0113813118858834,0,0.00379377062862779,0,0,0.0265563944003946
"27",34.121824,114.832898,20200603,10:19:00,1,"SouthWest","Y",0,100,29100,0,0.0102951269732327,0.00343170899107756,0.0343170899107756,0.0137268359643102,0,0,0,0,0.00686341798215511,0,0,0.0102951269732327,0.00343170899107756,0,0,0,0,0,0,0,0.0102951269732327,0,0,0.0446122168840082
"28",34.112916,114.852137,20200603,10:27:00,1,"SouthWest","Y",0,100,29434,0,0,0.00678587181488142,0.0101788077223221,0,0,0,0.00339293590744071,0.0475011027041699,0,0,0.00339293590744071,0.0339293590744071,0.0135717436297628,0,0.0101788077223221,0,0,0,0,0,0.00339293590744071,0,0,0
"29",34.111084,114.855648,20200603,10:31:00,1,"SouthWest","Y",5,95,16478,0,0,0,0,0,0,0,0,0.0484760346603648,0,0,0,0.0424165303278192,0.0424165303278192,0,0,0,0.0060595043325456,0,0,0,0,0,0,0.0121190086650912
"30",34.112094,114.85946,20200603,10:37:00,1,"SouthWest","Y",7.5,92.5,23167,0,0,0,0,0.0086210612526402,0,0,0,0.0129315918789603,0,0,0,0.0603474287684814,0.0258631837579206,0,0.0086210612526402,0.0043105306263201,0,0,0,0,0.0172421225052804,0,0,0
"31",34.116007,114.860738,20200603,10:42:00,1,"SouthWest","Y",2.5,97.5,29171,0,0,0.0205430205087821,0,0.0171191837573185,0,0,0,0.00684767350292738,0,0,0,0.00342383675146369,0,0,0,0,0,0,0,0,0.00342383675146369,0,0,0.0719005717807375
"32",34.130076,114.86109,20200603,10:49:00,1,"SouthWest","Y",5.26315789473684,94.7368421052632,29219,0,0,0.00341810226961991,0,0,0,0,0,0.0307629204265792,0,0,0,0.0273448181569593,0.0273448181569593,0,0,0.00683620453923981,0.00683620453923981,0,0,0,0,0,0,0.0239267158873393
"33",34.133067,114.8627,20200603,10:54:00,1,"SouthWest","Y",5,95,26595,0,0,0.0225352112676056,0,0.0112676056338028,0,0,0,0,0,0,0,0.0300469483568075,0,0,0,0,0,0,0,0,0.00375586854460094,0,0,0.0450704225352113
"34",34.131334,114.866053,20200603,12:18:00,1,"SouthWest","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",34.134801,114.869348,20200603,12:23:00,1,"SouthWest","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",34.130484,114.878263,20200603,12:29:00,1,"SouthWest","Y",15,85,19244,0.0311510305799284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571102227298686
"37",34.126354,114.878937,20200603,12:34:00,1,"SouthWest","Y",5,95,22109,0.00451732393729954,0,0.00903464787459909,0,0.00451732393729954,0,0,0,0,0,0,0,0.0677598590594932,0.0180692957491982,0,0,0,0.00451732393729954,0,0,0,0,0,0,0.0180692957491982
"38",34.127912,114.883938,20200603,12:39:00,1,"SouthWest","Y",2.5,97.5,23104,0,0,0,0,0.00432282885920546,0,0,0,0,0,0,0,0.0129684865776164,0.0389054597328492,0,0,0,0,0,0,0,0,0,0,0.0691652617472874
"39",34.132294,114.884797,20200603,12:42:00,1,"SouthWest","Y",5,95,30638,0,0,0,0.00326008997848341,0.00326008997848341,0,0,0,0.0521614396557345,0,0,0,0,0,0,0.0195605398709004,0,0.00652017995696681,0,0,0,0,0,0,0.0326008997848341
"40",34.133669,114.880443,20200603,12:46:00,1,"SouthWest","Y",0,100,30528,0,0,0,0.00654450261780105,0.00654450261780105,0,0,0.00327225130890052,0.0261780104712042,0,0.0229057591623037,0,0.0229057591623037,0.00327225130890052,0,0,0.00654450261780105,0.00327225130890052,0,0,0,0.00327225130890052,0,0,0
"08 - failed",34.129336,114.911822,20200602,11:36:00,1,"SouthWest","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11 - failed",34.117769,114.923158,20200602,11:55:00,1,"SouthWest","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
