"sample","latitude","longitude","date","time","site","location","successful.count","rowid.x","fov.Facing Up","fov.Limited","fov.Open","mean.relief","sd.relief","rowid.y","detailed.Consolidated.Boulder.Turf mat","detailed.Consolidated.Cobbles.No biota","detailed.Consolidated.Cobbles.Turf mat","detailed.Consolidated.Rock.No biota","detailed.Consolidated.Rock.Turf mat","detailed.Consolidated.Rock.Veneer","detailed.Macroalgae.Articulated calcareous.","detailed.Macroalgae.Encrusting.Red","detailed.Macroalgae.Erect course branching.Brown","detailed.Macroalgae.Erect course branching.Green","detailed.Macroalgae.Erect course branching.Red","detailed.Macroalgae.Erect fine branching.Green","detailed.Macroalgae.Erect fine branching.Red","detailed.Macroalgae.Filamentous and filiform.","detailed.Macroalgae.Large canopy-forming.Ecklonia radiata","detailed.Macroalgae.Large canopy-forming.Scytothalia dorycarpa","detailed.Macroalgae.Sheet-like membranous.","detailed.Macroalgae.Small mixed.","detailed.Octocoral/Black.Fan (2D).","detailed.Seagrasses.Strap-like leaves.Thalassodendrum sp.","detailed.Sponges.Crusts.","detailed.Sponges.Erect forms.","detailed.Sponges.Hollow forms.","detailed.Sponges.Massive forms.","detailed.Sponges.Small mixed.","detailed.Stony corals.Sub-massive.Live","detailed.Unconsolidated.Sand.mud (coarse sand)"
"IO272",-34.00868897,114.8138721,20201019,06:56:00,"C.IO.21","South-west",NA,164210,0,0.00243560859769835,0.0097424343907934,2.81818181818182,0.404519917477945,43326,0,0,0,0,0,0,0,0,0.00230760355370947,0,0,0,0.00230760355370947,0,0.00692281066112842,0,0,0.00923041421483789,0,0,0,0,0,0,0,0,0
"FH44",-33.77118897,114.8638721,20201017,11:28:00,"C.FH.10","South-west","Yes",124420,0,0.00241041298409127,0.0297284268037924,2.53846153846154,0.706018086497463,52767,0,0,0,0,0.00189419051768227,0,0,0,0.00568257155304681,0,0,0,0,0.00189419051768227,0,0,0,0,0,0.0322012388005986,0,0,0,0,0,0,0.00757676207072907
"FH20",-33.78618897,114.8738721,20201017,11:40:00,"C.FH.11","South-west","Yes",110420,0,0,0.0362122035125837,2.05,0.604805318829299,46410,0,0,0.0150764591858712,0,0,0,0,0,0.0107688994184794,0,0,0,0,0,0,0,0,0,0,0.00861511953478354,0,0,0,0.00215377988369589,0,0,0.00646133965108766
"FH7",-33.78368897,114.8788721,20201017,11:45:00,"C.FH.11","South-west","Yes",143620,0,0,0.0278435194208548,2.43478260869565,0.506869801869702,58376,0,0,0,0,0,0,0,0,0,0.00171235808832343,0,0,0.011986506618264,0,0,0,0,0,0,0.011986506618264,0,0.00684943235329372,0,0.00342471617664686,0.00342471617664686,0,0
"FH34",-33.78618897,114.8838721,20201017,11:51:00,"C.FH.11","South-west","Yes",118820,0,0,0.0336530371866061,2.16666666666667,0.637022057270606,47194,0,0,0,0,0.00635350925494515,0,0,0,0.0190605277648354,0,0,0,0.0042356728366301,0,0,0,0,0,0,0.0127070185098903,0,0,0,0.00211783641831505,0,0,0.00635350925494515
"FH18",-33.79118897,114.8213721,20201012,13:19:00,"C.FH.12","South-west","Yes",109220,0,0,0.0366099212886692,2,0.794719414239026,46085,0,0,0,0,0.00433792430322091,0,0,0,0.0108448107580523,0,0.00216896215161045,0,0.0130137729096627,0,0.00433792430322091,0,0,0,0,0,0,0,0,0,0,0,0.00867584860644182
"FH26",-33.81118897,114.8288721,20201012,15:10:00,"C.FH.13","South-west","Yes",7410,0,0,0.269179004037685,2.4375,0.51234753829798,3210,0,0,0,0,0.0310077519379845,0,0,0,0.0930232558139535,0,0,0,0.062015503875969,0,0.062015503875969,0,0,0,0,0.186046511627907,0,0,0,0.0310077519379845,0,0,0
"FH27",-33.83618897,114.8713721,20201012,15:39:00,"C.FH.14","South-west","Yes",114820,0,0.00435312554414069,0.0304718788089849,2.25,0.638666373658505,47650,0,0,0,0,0.00419551080344032,0,0,0,0.0209775540172016,0,0,0,0,0,0.00209775540172016,0,0,0,0,0.00629326620516048,0,0,0,0.00419551080344032,0,0,0.00419551080344032
"IO333",-34.11301667,114.7251333,20201022,10:01:00,"C.IO.9","South-west","Yes",253620,0,0,0.0157691397934243,0.304347826086957,0.764840007553312,84167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261316799106772
"IO332",-34.09718333,114.7344833,20201022,10:33:00,"C.IO.10","South-west","Yes",252420,0,0,0.015844094113919,0,0,99430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251369966316425
"IO319",-34.09368897,114.7313721,20201022,10:37:00,"C.IO.10","South-west","Yes",244820,0,0,0.0163358653924692,1.07692307692308,1.16354894776548,71430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139958012596221,0,0.00139958012596221,0,0,0.0251924422673198
"IO337",-34.00536667,114.8202333,20201019,07:02:00,"C.IO.21","South-west","Yes",256420,0,0,0.0155969741870077,3,0,114993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260817401737044,0,0,0,0,0,0,0,0,0,0,0,0
"IOREDO344",-34.0844,114.6744,20201123,07:12:00,"C.IO.14","South-west","Yes",98210,0,0,0.0203603787030439,0.3,0.483045891539648,28475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035106196243637
"IO269",-33.98868897,114.8138721,20201019,07:18:00,"C.IO.22","South-west","Yes",225220,0,0,0.0177572582793217,2.79166666666667,0.414851116999053,85340,0,0,0,0,0.00117145400871562,0,0,0,0,0,0,0,0.00937163206972494,0,0.015228902113303,0,0,0,0,0,0,0.00117145400871562,0,0.00117145400871562,0,0,0
"IO300",-34.08618897,114.6688721,20201123,07:18:00,"C.IO.14","South-west","Yes",237620,0,0,0.0168307666414205,0.739130434782609,0.44897775854488,84497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272124940842404
"IO58",-34.13618897,114.7738721,20201022,07:21:00,"C.IO.69","South-west","Yes",282820,0,0,0.0141412713002899,2,0.510753918455249,30258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660829340822732,0,0,0,0,0.00660829340822732,0,0,0.00991244011234099
"IO343",-34.10261667,114.6407167,20201123,07:38:00,"C.IO.15","South-west","Yes",259620,0,0,0.0154047600708619,0.64,1.113552872566,86900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345125107851596,0,0,0.0253091745757837
"IO62",-34.13368897,114.7663721,20201022,07:45:00,"C.IO.69","South-west","Yes",284020,0,0,0.0140815320706893,0.642857142857143,0.826159598709403,100855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025772940395119
"IO282",-34.14618897,114.5438721,20201029,07:20:00,"C.IO.18","South-west","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO278",-34.11118897,114.6388721,20201123,07:45:00,"C.IO.15","South-west","Yes",228820,0,0,0.0174779341081884,0.91304347826087,0.596432079365658,78704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127021225246739,0,0,0.0279446695542825
"IO277",-34.10618897,114.6463721,20201123,07:53:00,"C.IO.15","South-west","Yes",228020,0,0.00219240550732263,0.0153468385512584,1.36,0.99498743710662,76050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00394347683207361,0,0,0,0,0.00394347683207361,0,0,0.0249753532697995
"IO110",-34.14118897,114.7288721,20201022,08:00:00,"C.IO.68","South-west","Yes",173220,0,0.00173150178921852,0.021355188733695,0.333333333333333,0.701964118163034,62797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366125437758676
"IO98",-34.13368897,114.7313721,20201022,08:13:00,"C.IO.68","South-west","Yes",295620,0,0,0.0135290536426977,0.45,0.759154654516248,85740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011660447761194,0,0,0.0221548507462687
"IO95",-34.12618897,114.7338721,20201022,08:21:00,"C.IO.68","South-west","Yes",294020,0,0,0.01360266612256,0.0952380952380952,0.300792603759119,91080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230513386241644
"IO264",-34.01868897,114.8738721,20201019,09:31:00,"C.IO.19","South-west","Yes",223220,0,0.0013437248051599,0.0165726059303055,1.63636363636364,0.726731400270092,69231,0,0,0.0245476730249953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00433194229852858,0,0,0,0,0,0,0.00288796153235239
"IO339",-34.01461667,114.8785,20201019,09:41:00,"C.IO.19","South-west","Yes",258020,0,0,0.015500271254747,2.8,0.484234198111502,112755,0,0,0,0,0.00354657090925212,0,0.000886642727313029,0,0.00443321363656515,0,0,0.000886642727313029,0.00177328545462606,0,0.00797978454581726,0,0,0,0,0.00443321363656515,0,0.00177328545462606,0,0.000886642727313029,0,0,0
"IO352",-34.03618897,114.5988721,20201123,09:43:00,"C.IO.27","South-west","Yes",263220,0,0,0.0151941046873813,1.4,1.1017227888395,92052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108605934228246,0,0.00108605934228246,0.00217211868456492,0,0.00434423736912985,0,0,0.0173769494765194
"IO323",-34.03103333,114.6001,20201123,09:48:00,"C.IO.27","South-west","Yes",245620,0,0.00203533338760889,0.0142473337132622,1.2,0.615587011251092,71630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279134682484299,0,0,0,0,0.0251221214235869
"IO263",-34.00868897,114.8788721,20201019,09:52:00,"C.IO.19","South-west","Yes",222420,0,0,0.0179807605861728,2.56,0.506622805119022,83243,0,0,0,0,0,0,0,0,0,0,0,0.00120094153816592,0.0132103569198251,0,0,0,0,0,0,0.015612239996157,0,0,0,0,0,0,0
"IO307",-34.11868897,114.7263721,20201022,09:56:00,"C.IO.9","South-west","Yes",240020,0,0,0.0166625010414063,0.8,0.695852373938459,70160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142490738102023,0,0,0,0,0.0270732402393844
"IO350",-34.02618897,114.6038721,20201123,09:56:00,"C.IO.27","South-west","Yes",261620,0,0,0.0152870136818772,1,0.408248290463863,85318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117175599353191,0,0,0,0,0.0269503878512339
"IO369",-34.02868897,114.5913721,20201123,10:08:00,"C.IO.27","South-west","Yes",272020,0,0,0.0147026391237227,1.05,0.604805318829299,76838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130111766007,0,0,0,0,0.02342011788126
"IO37",-34.10868897,114.7188721,20201022,10:12:00,"C.IO.55","South-west","Yes",272820,0,0.00183244154511471,0.012827090815803,0.8,0.523148363780597,79460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125817815802718,0,0.0239053850025164
"IO351",-34.03118897,114.5963721,20201123,10:13:00,"C.IO.27","South-west","Yes",262420,0,0,0.0152404175874419,0.541666666666667,0.588229965875272,95660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240377078477891
"IO40",-34.10368897,114.7138721,20201022,10:17:00,"C.IO.55","South-west","Yes",278820,0,0,0.0143441153266872,0.5,0.707106781186548,99255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010072420704868,0,0,0.02518105176217
"IOCP2311",-34.01858,114.601465,20201123,10:19:00,"C.IO.46","South-west","Yes",97810,0,0,0.0204436266993765,0.933333333333333,0.258198889747161,42525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352609308885755
"FH37",-33.71118897,114.8138721,20201012,11:03:00,"C.FH.6","South-west","Yes",120820,0,0.00413701803739864,0.0289591262617905,2.42307692307692,0.503831473655779,51203,0,0,0,0,0.00195201936403209,0,0,0,0.0234242323683851,0,0,0.00390403872806418,0.0136641355482246,0,0,0,0,0,0,0.00780807745612837,0,0,0,0,0,0,0
"IO338",-33.97231667,114.92245,20201019,11:50:00,"C.IO.20","South-west","Yes",257220,0,0,0.0155484723625904,1.07692307692308,0.744208407535251,94279,0,0,0,0,0,0,0,0,0.00636233497693654,0,0,0,0,0,0,0,0,0,0,0,0,0.00106038916282276,0,0,0.00106038916282276,0,0.0190870049308096
"IO253",-34.01368897,114.7038721,20201123,12:15:00,"C.IO.49","South-west","Yes",57810,0.00864603147155456,0,0.0259380944146637,0.533333333333333,0.516397779494322,25815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580720092915215
"IO364",-34.00868897,114.6888721,20201123,12:21:00,"C.IO.24","South-west","Yes",270420,0,0,0.0147896176883828,0.608695652173913,0.782718481539738,93014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107485274517391,0,0,0.0225719076486521
"IO180",-33.99618897,114.7038721,20201123,12:36:00,"C.IO.41","South-west","Yes",192420,0,0,0.0207835394367661,0,0,63560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393174490839034
"IOCP11-1",-33.992845,114.696642,20201123,12:39:00,"C.IO.41","South-west","Yes",298420,0,0.00167526636735241,0.0117268645714669,0.0869565217391304,0.28810406552003,104236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220604456210015
"IOCP11-2",-33.974332,114.692773,20201123,12:47:00,NA,"South-west","Yes",299220,0,0,0.0133663035487536,2.51515151515152,0.667139983493538,101232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00296278739037687,0,0,0.0158015327486766,0.00197519159358458,0.000987595796792289,0,0,0.00197519159358458
"IO164",-34.03368897,114.9038721,20201016,07:14:00,"C.IO.62","South-west","Yes",190420,0,0,0.0210017851517379,2.22222222222222,0.640512615220349,56716,0,0,0,0,0.00352466383518672,0,0,0,0.0105739915055602,0,0,0,0.0123363234231535,0,0.00704932767037344,0,0,0,0,0.0088116595879668,0,0,0,0,0,0,0.00528699575278008
"IO184",-34.04118897,114.9038721,20201016,07:19:00,"C.IO.62","South-west","Yes",193220,0,0,0.020697505950533,2.12,0.525991127935317,63885,0,0,0,0,0,0,0,0,0.0140823032389297,0,0,0.00156470035988108,0.0093882021592865,0,0,0,0,0,0,0,0,0.00156470035988108,0,0.0093882021592865,0,0,0.00312940071976217
"IO165",-34.04368897,114.8988721,20201016,07:23:00,"C.IO.62","South-west","Yes",191220,0,0,0.0209139391404371,2.33333333333333,0.483045891539648,60542,0,0,0,0,0,0,0,0,0,0,0,0,0.0214652510608788,0,0,0,0,0,0,0.00330234631705827,0,0.00495351947558741,0,0.00165117315852913,0.00330234631705827,0,0
"IO374",-33.98618897,114.7463721,20201015,07:31:00,"C.IO.25","South-west","Yes",274820,0,0,0.0145528632758495,2.42105263157895,0.507257273501788,78824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139521315051813,0,0,0.00507350236552048,0,0.00253675118276024,0,0,0
"IO361",-33.98868897,114.7413721,20201015,07:35:00,"C.IO.25","South-west","Yes",268820,0,0.00185970393513353,0.0130179275459347,1.52173913043478,1.08164711172743,73715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271248965863318,0,0.00406873448794976,0,0,0.0176311827811156
"IO155",-34.04368897,114.8838721,20201016,07:42:00,"C.IO.65","South-west","Yes",188420,0,0.00212246630584739,0.0191021967526266,2.45833333333333,0.588229965875272,76475,0,0,0,0,0,0,0,0,0.00522875816993464,0,0,0,0.0104575163398693,0,0.00261437908496732,0,0.00130718954248366,0.00130718954248366,0,0.00784313725490196,0,0.00130718954248366,0,0.00130718954248366,0,0,0.00130718954248366
"IO325",-33.991557,114.743378,20201015,07:44:00,"C.IO.25","South-west","Yes",247220,0,0,0.0161773032435493,1.76,0.597215762238964,65818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151894888736994,0,0,0.00303789777473988,0,0.00151894888736994,0,0,0.0197463355358092
"IOC06",-34.048689,114.876372,20201016,07:48:00,"C.IO.65","South-west","Yes",96610,0,0,0.020697505950533,2.8,0.414039335605413,41955,0,0,0,0,0,0,0,0,0.00476530855372885,0,0,0,0,0,0,0,0,0,0,0.0285918513223731,0,0,0,0.00238265427686443,0,0,0
"IO266",-34.02118897,114.7588721,20201015,08:06:00,"C.IO.23","South-west","Yes",224020,0,0.00178523609747389,0.016067124877265,0.684210526315789,0.671038298207203,78929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025333130668288,0,0,0,0,0.0215331610680448
"IO327",-34.02946667,114.7623833,20201015,08:17:00,"C.IO.23","South-west","Yes",248420,0,0,0.016099170892699,2.28,0.678232998312527,66077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00756498320573728,0,0,0.0105909764880322,0,0.00453898992344237,0,0,0.00302599328229491
"IO210",-34.09118897,114.8738721,20201016,10:09:00,"C.IO.6","South-west","Yes",200820,0,0.00149357761625012,0.0184207906004182,2.29166666666667,0.550032937090187,76668,0,0,0,0,0,0,0,0,0.00260783393313514,0,0,0.00260783393313514,0.00912741876597298,0,0.00260783393313514,0,0,0.00521566786627028,0,0.00651958483283785,0,0,0,0,0.00130391696656757,0,0.00130391696656757
"IO17",-34.06368897,114.8763721,20201016,08:07:00,"C.IO.35","South-west",NA,146210,0,0,0.0136770840456815,1.89473684210526,0.458831467741124,81358,0,0,0,0,0,0,0,0,0,0,0,0,0.00245769689224228,0,0,0,0,0.017203878245696,0,0,0,0,0,0,0,0,0.00368654533836342
"IO334",-34.06155,114.7753667,20201015,10:11:00,"C.IO.8","South-west","Yes",254420,0,0,0.0157195629961487,0.12,0.439696865275764,97956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244947948560931
"IO267",-34.02618897,114.7638721,20201015,08:11:00,"C.IO.23","South-west",NA,163410,0,0,0.0122376552652512,1.8,1.03279555898864,33544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00298053709278412,0,0,0,0,0,0,0,0,0.00596107418556824,0,0,0.0119221483711365
"IO312",-34.05868897,114.7788721,20201015,10:17:00,"C.IO.8","South-west","Yes",243220,0,0.0016443311682973,0.0147989805146757,2.2,0.523148363780597,47683,0,0,0,0,0,0.00209661187520966,0,0,0,0,0,0,0.00419322375041932,0,0.00419322375041932,0,0,0,0,0,0,0.0104830593760483,0,0,0,0,0.00628983562562898
"IO81",-34.09868897,114.8913721,20201016,10:20:00,"C.IO.52","South-west","Yes",93410,0,0,0.0214064005137536,2,0.707106781186548,35126,0,0,0,0,0,0,0,0,0,0,0,0,0.0199208856256581,0,0.00569168160733089,0,0,0,0,0,0,0,0,0.00284584080366544,0,0,0.00853752241099633
"IO158",-33.98118897,114.8188721,20201013,10:21:00,"C.IO.33","South-west","Yes",44610,0,0,0.0448129061169617,1.3,0.674948557710553,13305,0,0,0,0,0,0,0,0,0.00751032669921142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00751032669921142,0,0,0.0600826135936913
"IO207",-34.06118897,114.7863721,20201015,10:23:00,"C.IO.7","South-west","Yes",200020,0,0,0.0199940017994602,1.63157894736842,0.83069758608784,60241,0,0,0,0,0,0,0,0,0,0.0016594756057086,0,0,0.00331895121141719,0,0,0,0,0,0,0,0,0.0016594756057086,0,0.00497842681712579,0.0016594756057086,0,0.0182542316627946
"IO145",-33.98618897,114.8238721,20201013,10:24:00,"C.IO.22","South-west","Yes",182820,0,0.00273433227605819,0.0191403259324073,2.54166666666667,0.508977377704051,67288,0,0,0,0,0.00297123841217019,0,0,0,0.00445685761825529,0,0.00445685761825529,0.00594247682434038,0.00742809603042548,0,0.00742809603042548,0,0,0,0,0.00297123841217019,0,0,0,0,0,0,0
"IO91",-34.09368897,114.8938721,20201016,10:25:00,"C.IO.52","South-west","Yes",292420,0,0,0.0136770840456815,2.18181818181818,0.664498639244989,94033,0,0,0,0,0,0,0,0,0.00531615153158326,0,0,0,0.00637938183789991,0,0,0,0,0,0,0,0,0.00318969091894995,0,0.00318969091894995,0,0,0.00318969091894995
"IO80",-34.09368897,114.8888721,20201016,10:30:00,"C.IO.52","South-west","Yes",291220,0,0,0.013733434045183,2.65384615384615,0.561591146105969,115975,0,0,0,0,0,0,0,0,0,0,0,0,0.00775855380557064,0,0.00431030766976147,0,0,0,0,0.00862061533952293,0,0,0,0,0.000862061533952293,0,0.000862061533952293
"IO335",-34.06686667,114.7939833,20201015,10:31:00,"C.IO.7","South-west","Yes",255220,0,0,0.0156702969521272,2.75,0.440958551844098,87269,0,0,0,0,0.00343662294518586,0,0,0,0,0,0,0,0.00229108196345724,0,0.0126009507990148,0,0,0,0,0.00458216392691449,0,0.00229108196345724,0,0.00458216392691449,0,0,0
"IO204",-34.06618897,114.7863721,20201015,10:35:00,"C.IO.7","South-west","Yes",198820,0,0,0.020114653525093,1.64,0.907377172587747,62905,0,0,0,0,0,0,0,0,0,0,0,0,0.0127129417747267,0,0.00158911772184083,0,0,0,0,0,0,0.00635647088736334,0,0,0,0,0.0158911772184083
"IO3",-34.07618897,114.7838721,20201015,12:03:00,"C.IO.43","South-west","Yes",236820,0,0,0.0168876129359115,2.72727272727273,0.455842305838552,65413,0,0,0,0,0,0,0,0,0,0,0,0,0.0137549479604469,0,0,0,0,0,0,0,0,0.00916996530696459,0,0.00458498265348229,0,0,0
"FH32",-33.69618897,114.9463721,20201017,08:50:00,"C.FH.5","South-west",NA,108610,0,0,0.0184111203166713,0.9375,0.928708781050335,44149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226433892625048,0,0.00226433892625048,0,0,0.0271720671150058
"IO254",-34.01868897,114.6963721,20201029,08:51:00,"C.IO.49","South-west","No",218020,0,0,0.0183435751627992,1.12,0.665832811847939,69380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144085990519142,0,0,0.0316989179142112
"IO239",-34.09118897,114.9313721,20201016,12:05:00,"C.IO.1","South-west","Yes",214420,0,0,0.0186514967826168,0.0416666666666667,0.204124145231932,81666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293793609988983
"FH36",-33.69868897,114.9338721,20201017,08:59:00,"C.FH.5","South-west","No",110210,0.0181438809761408,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
