"sample","latitude","longitude","date","time","site","location","successful.count","fov.Limited","fov.Open","mean.relief","sd.relief","type","detailed.Consolidated.Boulder","detailed.Consolidated.Rock","detailed.Macroalgae.Erect course branching","detailed.Macroalgae.Erect fine branching","detailed.Macroalgae.Large canopy-forming","detailed.Macroalgae.Small mixed","detailed.Seagrasses.Strap-like leaves","detailed.Sponges.Erect forms","detailed.Sponges.Massive forms","detailed.Sponges.Small mixed","detailed.Unconsolidated.Pebble / gravel (pebble 10-64mm)","detailed.Unconsolidated.Sand","detailed.Unconsolidated.Sand / mud (coarse sand)"
"23",34.124217,114.817017,20200603,08:38:00,1,"SouthWest","Y",20,80,2.56521739130435,0.506869801869702,NA,0,13.0434782608696,0,4.34782608695652,0,0,0,0,8.69565217391304,73.9130434782609,0,0,0
"24",34.118739,114.826402,20200603,08:47:00,1,"SouthWest","Y",2.5,97.5,2.1,0.640723275517187,NA,0,15,0,30,10,0,0,0,10,20,0,15,0
"25",34.116829,114.828432,20200603,08:54:00,1,"SouthWest","Y",7.5,92.5,2.45454545454545,0.509647191437625,NA,0,40.9090909090909,0,18.1818181818182,18.1818181818182,0,0,9.09090909090909,0,13.6363636363636,0,0,0
"26",34.120881,114.828907,20200603,09:02:00,1,"SouthWest","Y",2.5,97.5,2.03448275862069,0.625799980635623,NA,0,20.6896551724138,0,37.9310344827586,13.7931034482759,0,0,0,0,10.3448275862069,0,17.2413793103448,0
"27",34.121824,114.832898,20200603,10:19:00,1,"SouthWest","Y",0,100,2.06896551724138,0.65088041927611,NA,0,44.8275862068966,0,13.7931034482759,20.6896551724138,0,0,0,3.44827586206897,0,6.89655172413793,10.3448275862069,0
"28",34.112916,114.852137,20200603,10:27:00,1,"SouthWest","Y",0,100,2.15384615384615,0.36794648440312,NA,0,19.2307692307692,15.3846153846154,42.3076923076923,19.2307692307692,0,0,0,0,3.84615384615385,0,0,0
"29",34.111084,114.855648,20200603,10:31:00,1,"SouthWest","Y",0,100,2.45833333333333,0.588229965875272,NA,0,0,41.6666666666667,12.5,20.8333333333333,0,4.16666666666667,0,0,16.6666666666667,0,4.16666666666667,0
"30",34.112094,114.85946,20200603,10:37:00,1,"SouthWest","Y",5,95,2.36363636363636,0.492365963917331,NA,0,0,18.1818181818182,54.5454545454545,13.6363636363636,0,4.54545454545455,0,4.54545454545455,4.54545454545455,0,0,0
"31",34.116007,114.860738,20200603,10:42:00,1,"SouthWest","Y",0,100,1.77777777777778,0.933699561847852,NA,0,25.9259259259259,22.2222222222222,18.5185185185185,0,0,0,0,0,0,0,3.7037037037037,29.6296296296296
"32",34.130076,114.86109,20200603,10:49:00,1,"SouthWest","Y",0,100,2.375,0.824225591744734,NA,0,0,37.5,29.1666666666667,12.5,8.33333333333333,0,0,0,0,0,8.33333333333333,4.16666666666667
"33",34.133067,114.8627,20200603,10:54:00,1,"SouthWest","Y",0,100,1.68,1.14455231422596,NA,4,20,16,12,0,0,0,0,8,4,0,8,28
"34",34.131334,114.866053,20200603,12:18:00,1,"SouthWest","Y",0,100,1.76,0.66332495807108,NA,0,56,8,20,0,0,0,0,0,4,0,4,8
"35",34.134801,114.869348,20200603,12:23:00,1,"SouthWest","Y",0,100,2.44444444444444,0.640512615220349,NA,0,3.7037037037037,33.3333333333333,33.3333333333333,14.8148148148148,0,3.7037037037037,0,3.7037037037037,0,0,7.40740740740741,0
"36",34.130484,114.878263,20200603,12:29:00,1,"SouthWest","Y",2.5,97.5,0.84,0.850490054811538,NA,0,0,8,0,0,0,0,0,0,0,24,36,32
"37",34.126354,114.878937,20200603,12:34:00,1,"SouthWest","Y",0,100,2.1304347826087,0.694415897524803,NA,0,0,34.7826086956522,34.7826086956522,4.34782608695652,0,4.34782608695652,0,4.34782608695652,0,0,17.3913043478261,0
"38",34.127912,114.883938,20200603,12:39:00,1,"SouthWest","Y",0,100,1.89473684210526,0.936585811581694,NA,0,26.3157894736842,5.26315789473684,10.5263157894737,10.5263157894737,0,0,0,10.5263157894737,0,0,36.8421052631579,0
"39",34.132294,114.884797,20200603,12:42:00,1,"SouthWest","Y",0,100,2.12,0.781024967590666,NA,0,4,40,28,0,0,0,0,0,4,0,24,0
"40",34.133669,114.880443,20200603,12:46:00,1,"SouthWest","Y",0,100,2.46428571428571,0.50787450018337,NA,0,0,35.7142857142857,28.5714285714286,14.2857142857143,0,0,0,0,21.4285714285714,0,0,0
"08 - failed",34.129336,114.911822,20200602,11:36:00,1,"SouthWest","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11 - failed",34.117769,114.923158,20200602,11:55:00,1,"SouthWest","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
