"","X","sample","family","unique.name","genus","full.name","species","maxn","latitude","longitude","date","time","location","status","depth","cluster","bathy","flowdir","slope","Temp_mean","Temp_sterr","Temp_trend","mean.relief","sd.relief","detailed.Consolidated.Boulder","detailed.Consolidated.Rock","detailed.Macroalgae.Erect.course.branching","detailed.Macroalgae.Erect.fine.branching","detailed.Macroalgae.Large.canopy.forming","detailed.Macroalgae.Small.mixed","detailed.Seagrasses.Strap.like.leaves","detailed.Sponges.Erect.forms","detailed.Sponges.Massive.forms","detailed.Sponges.Small.mixed","detailed.Unconsolidated.Pebble...gravel..pebble.10.64mm.","detailed.Unconsolidated.Sand","detailed.Unconsolidated.Sand...mud..coarse.sand."
"17",17,"10","Labridae","Labridae Choerodon rubescens","Choerodon","Choerodon rubescens","rubescens",1,-34.117294,114.918685,20200602,"11:51","South-west","No-take",45.7,"c2",-44,32,0.000706260907463729,19.764087677002,0.0187142491340637,0.237060010433197,2.45833333333333,0.508977377704052,0,0,0,50,0,0,0,0,0,50,0,0,0
"18",18,"10","Labridae","Labridae Coris auricularis","Coris","Coris auricularis","auricularis",9,-34.117294,114.918685,20200602,"11:51","South-west","No-take",45.7,"c2",-44,32,0.000706260907463729,19.764087677002,0.0187142491340637,0.237060010433197,2.45833333333333,0.508977377704052,0,0,0,50,0,0,0,0,0,50,0,0,0
"19",19,"10","Labridae","Labridae Ophthalmolepis lineolatus","Ophthalmolepis","Ophthalmolepis lineolatus","lineolatus",4,-34.117294,114.918685,20200602,"11:51","South-west","No-take",45.7,"c2",-44,32,0.000706260907463729,19.764087677002,0.0187142491340637,0.237060010433197,2.45833333333333,0.508977377704052,0,0,0,50,0,0,0,0,0,50,0,0,0
"20",20,"10","Labridae","Labridae Pseudolabrus biserialis","Pseudolabrus","Pseudolabrus biserialis","biserialis",10,-34.117294,114.918685,20200602,"11:51","South-west","No-take",45.7,"c2",-44,32,0.000706260907463729,19.764087677002,0.0187142491340637,0.237060010433197,2.45833333333333,0.508977377704052,0,0,0,50,0,0,0,0,0,50,0,0,0
"21",21,"10","Monacanthidae","Monacanthidae Meuschenia freycineti","Meuschenia","Meuschenia freycineti","freycineti",1,-34.117294,114.918685,20200602,"11:51","South-west","No-take",45.7,"c2",-44,32,0.000706260907463729,19.764087677002,0.0187142491340637,0.237060010433197,2.45833333333333,0.508977377704052,0,0,0,50,0,0,0,0,0,50,0,0,0
"22",22,"10","Myliobatidae","Myliobatidae Myliobatis tenuicaudatus","Myliobatis","Myliobatis tenuicaudatus","tenuicaudatus",1,-34.117294,114.918685,20200602,"11:51","South-west","No-take",45.7,"c2",-44,32,0.000706260907463729,19.764087677002,0.0187142491340637,0.237060010433197,2.45833333333333,0.508977377704052,0,0,0,50,0,0,0,0,0,50,0,0,0
"23",23,"10","Scorpididae","Scorpididae Neatypus obliquus","Neatypus","Neatypus obliquus","obliquus",1,-34.117294,114.918685,20200602,"11:51","South-west","No-take",45.7,"c2",-44,32,0.000706260907463729,19.764087677002,0.0187142491340637,0.237060010433197,2.45833333333333,0.508977377704052,0,0,0,50,0,0,0,0,0,50,0,0,0
"24",24,"10","Scorpididae","Scorpididae Tilodon sexfasciatus","Tilodon","Tilodon sexfasciatus","sexfasciatus",1,-34.117294,114.918685,20200602,"11:51","South-west","No-take",45.7,"c2",-44,32,0.000706260907463729,19.764087677002,0.0187142491340637,0.237060010433197,2.45833333333333,0.508977377704052,0,0,0,50,0,0,0,0,0,50,0,0,0
"25",25,"11","Gerreidae","Gerreidae Parequula melbournensis","Parequula","Parequula melbournensis","melbournensis",2,-34.117752,114.92306,20200602,"13:55","South-west","No-take",45.08,"c2",-44,4,0.000706273247487843,19.764087677002,0.0187142491340637,0.237060010433197,1.5,0.629723529922403,0,3.33333333333333,3.33333333333333,36.6666666666667,0,0,0,0,0,13.3333333333333,0,43.3333333333333,0
"26",26,"11","Heterodontidae","Heterodontidae Heterodontus portusjacksoni","Heterodontus","Heterodontus portusjacksoni","portusjacksoni",2,-34.117752,114.92306,20200602,"13:55","South-west","No-take",45.08,"c2",-44,4,0.000706273247487843,19.764087677002,0.0187142491340637,0.237060010433197,1.5,0.629723529922403,0,3.33333333333333,3.33333333333333,36.6666666666667,0,0,0,0,0,13.3333333333333,0,43.3333333333333,0
"27",27,"11","Labridae","Labridae Achoerodus gouldii","Achoerodus","Achoerodus gouldii","gouldii",1,-34.117752,114.92306,20200602,"13:55","South-west","No-take",45.08,"c2",-44,4,0.000706273247487843,19.764087677002,0.0187142491340637,0.237060010433197,1.5,0.629723529922403,0,3.33333333333333,3.33333333333333,36.6666666666667,0,0,0,0,0,13.3333333333333,0,43.3333333333333,0
"28",28,"11","Labridae","Labridae Austrolabrus maculatus","Austrolabrus","Austrolabrus maculatus","maculatus",1,-34.117752,114.92306,20200602,"13:55","South-west","No-take",45.08,"c2",-44,4,0.000706273247487843,19.764087677002,0.0187142491340637,0.237060010433197,1.5,0.629723529922403,0,3.33333333333333,3.33333333333333,36.6666666666667,0,0,0,0,0,13.3333333333333,0,43.3333333333333,0
"29",29,"11","Labridae","Labridae Coris auricularis","Coris","Coris auricularis","auricularis",3,-34.117752,114.92306,20200602,"13:55","South-west","No-take",45.08,"c2",-44,4,0.000706273247487843,19.764087677002,0.0187142491340637,0.237060010433197,1.5,0.629723529922403,0,3.33333333333333,3.33333333333333,36.6666666666667,0,0,0,0,0,13.3333333333333,0,43.3333333333333,0
"30",30,"11","Labridae","Labridae Ophthalmolepis lineolatus","Ophthalmolepis","Ophthalmolepis lineolatus","lineolatus",3,-34.117752,114.92306,20200602,"13:55","South-west","No-take",45.08,"c2",-44,4,0.000706273247487843,19.764087677002,0.0187142491340637,0.237060010433197,1.5,0.629723529922403,0,3.33333333333333,3.33333333333333,36.6666666666667,0,0,0,0,0,13.3333333333333,0,43.3333333333333,0
"31",31,"11","Labridae","Labridae Pseudolabrus biserialis","Pseudolabrus","Pseudolabrus biserialis","biserialis",6,-34.117752,114.92306,20200602,"13:55","South-west","No-take",45.08,"c2",-44,4,0.000706273247487843,19.764087677002,0.0187142491340637,0.237060010433197,1.5,0.629723529922403,0,3.33333333333333,3.33333333333333,36.6666666666667,0,0,0,0,0,13.3333333333333,0,43.3333333333333,0
"32",32,"11","Myliobatidae","Myliobatidae Myliobatis tenuicaudatus","Myliobatis","Myliobatis tenuicaudatus","tenuicaudatus",1,-34.117752,114.92306,20200602,"13:55","South-west","No-take",45.08,"c2",-44,4,0.000706273247487843,19.764087677002,0.0187142491340637,0.237060010433197,1.5,0.629723529922403,0,3.33333333333333,3.33333333333333,36.6666666666667,0,0,0,0,0,13.3333333333333,0,43.3333333333333,0
"33",33,"11","Pomacentridae","Pomacentridae Chromis klunzingeri","Chromis","Chromis klunzingeri","klunzingeri",53,-34.117752,114.92306,20200602,"13:55","South-west","No-take",45.08,"c2",-44,4,0.000706273247487843,19.764087677002,0.0187142491340637,0.237060010433197,1.5,0.629723529922403,0,3.33333333333333,3.33333333333333,36.6666666666667,0,0,0,0,0,13.3333333333333,0,43.3333333333333,0
"34",34,"11","Scorpididae","Scorpididae Neatypus obliquus","Neatypus","Neatypus obliquus","obliquus",4,-34.117752,114.92306,20200602,"13:55","South-west","No-take",45.08,"c2",-44,4,0.000706273247487843,19.764087677002,0.0187142491340637,0.237060010433197,1.5,0.629723529922403,0,3.33333333333333,3.33333333333333,36.6666666666667,0,0,0,0,0,13.3333333333333,0,43.3333333333333,0
"35",35,"11","Serranidae","Serranidae Caesioperca sp1","Caesioperca","Caesioperca sp1","sp1",3,-34.117752,114.92306,20200602,"13:55","South-west","No-take",45.08,"c2",-44,4,0.000706273247487843,19.764087677002,0.0187142491340637,0.237060010433197,1.5,0.629723529922403,0,3.33333333333333,3.33333333333333,36.6666666666667,0,0,0,0,0,13.3333333333333,0,43.3333333333333,0
"36",36,"12","Carangidae","Carangidae Seriola hippos","Seriola","Seriola hippos","hippos",1,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"37",37,"12","Cheilodactylidae","Cheilodactylidae Nemadactylus valenciennesi","Nemadactylus","Nemadactylus valenciennesi","valenciennesi",2,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"38",38,"12","Kyphosidae","Kyphosidae Kyphosus sydneyanus","Kyphosus","Kyphosus sydneyanus","sydneyanus",1,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"39",39,"12","Labridae","Labridae Bodianus frenchii","Bodianus","Bodianus frenchii","frenchii",1,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"40",40,"12","Labridae","Labridae Choerodon rubescens","Choerodon","Choerodon rubescens","rubescens",1,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"41",41,"12","Labridae","Labridae Coris auricularis","Coris","Coris auricularis","auricularis",1,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"42",42,"12","Labridae","Labridae Ophthalmolepis lineolatus","Ophthalmolepis","Ophthalmolepis lineolatus","lineolatus",4,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"43",43,"12","Labridae","Labridae Pseudolabrus biserialis","Pseudolabrus","Pseudolabrus biserialis","biserialis",3,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"44",44,"12","Monacanthidae","Monacanthidae Meuschenia flavolineata","Meuschenia","Meuschenia flavolineata","flavolineata",1,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"45",45,"12","Monacanthidae","Monacanthidae Meuschenia galii","Meuschenia","Meuschenia galii","galii",1,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"46",46,"12","Myliobatidae","Myliobatidae Myliobatis tenuicaudatus","Myliobatis","Myliobatis tenuicaudatus","tenuicaudatus",1,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"47",47,"12","Orectolobidae","Orectolobidae Orectolobus maculatus","Orectolobus","Orectolobus maculatus","maculatus",1,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"48",48,"12","Pomacentridae","Pomacentridae Parma bicolor","Parma","Parma bicolor","bicolor",1,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"49",49,"12","Scorpaenidae","Scorpaenidae Scorpaena sumptuosa","Scorpaena","Scorpaena sumptuosa","sumptuosa",1,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"50",50,"12","Scorpididae","Scorpididae Neatypus obliquus","Neatypus","Neatypus obliquus","obliquus",17,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"51",51,"12","Serranidae","Serranidae Epinephelides armatus","Epinephelides","Epinephelides armatus","armatus",3,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"52",52,"12","Sparidae","Sparidae Chrysophrys auratus","Chrysophrys","Chrysophrys auratus","auratus",5,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"53",53,"12","Triakidae","Triakidae Furgaleus macki","Furgaleus","Furgaleus macki","macki",1,-34.132262,114.928545,20200602,"12:03","South-west","No-take",40.1,"c1",-36,1,0.0137446541339159,19.764087677002,0.0187142491340637,0.237060010433197,2.75,0.452267016866645,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"54",54,"13","Carangidae","Carangidae Seriola hippos","Seriola","Seriola hippos","hippos",1,-34.128506,114.930547,20200602,"12:09","South-west","No-take",45.2,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,2.1875,0.644455258838937,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"55",55,"13","Cheilodactylidae","Cheilodactylidae Nemadactylus valenciennesi","Nemadactylus","Nemadactylus valenciennesi","valenciennesi",1,-34.128506,114.930547,20200602,"12:09","South-west","No-take",45.2,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,2.1875,0.644455258838937,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"56",56,"13","Dasyatidae","Dasyatidae Bathytoshia brevicaudata","Bathytoshia","Bathytoshia brevicaudata","brevicaudata",1,-34.128506,114.930547,20200602,"12:09","South-west","No-take",45.2,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,2.1875,0.644455258838937,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"57",57,"13","Labridae","Labridae Austrolabrus maculatus","Austrolabrus","Austrolabrus maculatus","maculatus",1,-34.128506,114.930547,20200602,"12:09","South-west","No-take",45.2,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,2.1875,0.644455258838937,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"58",58,"13","Labridae","Labridae Coris auricularis","Coris","Coris auricularis","auricularis",4,-34.128506,114.930547,20200602,"12:09","South-west","No-take",45.2,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,2.1875,0.644455258838937,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"59",59,"13","Labridae","Labridae Ophthalmolepis lineolatus","Ophthalmolepis","Ophthalmolepis lineolatus","lineolatus",1,-34.128506,114.930547,20200602,"12:09","South-west","No-take",45.2,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,2.1875,0.644455258838937,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"60",60,"13","Labridae","Labridae Pseudolabrus biserialis","Pseudolabrus","Pseudolabrus biserialis","biserialis",9,-34.128506,114.930547,20200602,"12:09","South-west","No-take",45.2,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,2.1875,0.644455258838937,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"61",61,"13","Monacanthidae","Monacanthidae Meuschenia flavolineata","Meuschenia","Meuschenia flavolineata","flavolineata",1,-34.128506,114.930547,20200602,"12:09","South-west","No-take",45.2,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,2.1875,0.644455258838937,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"62",62,"13","Pomacentridae","Pomacentridae Parma bicolor","Parma","Parma bicolor","bicolor",1,-34.128506,114.930547,20200602,"12:09","South-west","No-take",45.2,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,2.1875,0.644455258838937,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"63",63,"13","Serranidae","Serranidae Caesioperca rasor","Caesioperca","Caesioperca rasor","rasor",3,-34.128506,114.930547,20200602,"12:09","South-west","No-take",45.2,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,2.1875,0.644455258838937,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"64",64,"13","Serranidae","Serranidae Epinephelides armatus","Epinephelides","Epinephelides armatus","armatus",1,-34.128506,114.930547,20200602,"12:09","South-west","No-take",45.2,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,2.1875,0.644455258838937,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"65",65,"13","Serranidae","Serranidae Hypoplectrodes nigroruber","Hypoplectrodes","Hypoplectrodes nigroruber","nigroruber",1,-34.128506,114.930547,20200602,"12:09","South-west","No-take",45.2,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,2.1875,0.644455258838937,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"66",66,"13","Triakidae","Triakidae Furgaleus macki","Furgaleus","Furgaleus macki","macki",1,-34.128506,114.930547,20200602,"12:09","South-west","No-take",45.2,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,2.1875,0.644455258838937,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"67",67,"13","Urolophidae","Urolophidae Trygonoptera ovalis","Trygonoptera","Trygonoptera ovalis","ovalis",1,-34.128506,114.930547,20200602,"12:09","South-west","No-take",45.2,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,2.1875,0.644455258838937,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"68",68,"14","Carcharhinidae","Carcharhinidae Carcharhinus brevipinna","Carcharhinus","Carcharhinus brevipinna","brevipinna",2,-34.128381,114.925457,20200602,"12:16","South-west","No-take",35,"nc",-33,16,0.0085740964859724,19.764087677002,0.0187142491340637,0.237060010433197,2.77777777777778,0.640512615220349,0,0,0,0,77.7777777777778,0,3.7037037037037,0,3.7037037037037,3.7037037037037,0,11.1111111111111,0
"69",69,"14","Cheilodactylidae","Cheilodactylidae Nemadactylus valenciennesi","Nemadactylus","Nemadactylus valenciennesi","valenciennesi",2,-34.128381,114.925457,20200602,"12:16","South-west","No-take",35,"nc",-33,16,0.0085740964859724,19.764087677002,0.0187142491340637,0.237060010433197,2.77777777777778,0.640512615220349,0,0,0,0,77.7777777777778,0,3.7037037037037,0,3.7037037037037,3.7037037037037,0,11.1111111111111,0
"70",70,"14","Glaucosomatidae","Glaucosomatidae Glaucosoma hebraicum","Glaucosoma","Glaucosoma hebraicum","hebraicum",3,-34.128381,114.925457,20200602,"12:16","South-west","No-take",35,"nc",-33,16,0.0085740964859724,19.764087677002,0.0187142491340637,0.237060010433197,2.77777777777778,0.640512615220349,0,0,0,0,77.7777777777778,0,3.7037037037037,0,3.7037037037037,3.7037037037037,0,11.1111111111111,0
