"","sample","campaignid.x","full.name","family","genus","species","maxn","campaignid.y","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","deployment","cluster","notes"
"20","10","2020-06_south-west_stereo-BRUVs","Labridae Pseudolabrus biserialis","Labridae","Pseudolabrus","biserialis",10,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"21","10","2020-06_south-west_stereo-BRUVs","Monacanthidae Meuschenia freycineti","Monacanthidae","Meuschenia","freycineti",1,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"22","10","2020-06_south-west_stereo-BRUVs","Myliobatidae Myliobatis tenuicaudatus","Myliobatidae","Myliobatis","tenuicaudatus",1,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"23","10","2020-06_south-west_stereo-BRUVs","Scorpididae Neatypus obliquus","Scorpididae","Neatypus","obliquus",1,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"24","10","2020-06_south-west_stereo-BRUVs","Scorpididae Tilodon sexfasciatus","Scorpididae","Tilodon","sexfasciatus",1,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"25","11","2020-06_south-west_stereo-BRUVs","Gerreidae Parequula melbournensis","Gerreidae","Parequula","melbournensis",2,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"26","11","2020-06_south-west_stereo-BRUVs","Heterodontidae Heterodontus portusjacksoni","Heterodontidae","Heterodontus","portusjacksoni",2,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"27","11","2020-06_south-west_stereo-BRUVs","Labridae Achoerodus gouldii","Labridae","Achoerodus","gouldii",1,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"28","11","2020-06_south-west_stereo-BRUVs","Labridae Austrolabrus maculatus","Labridae","Austrolabrus","maculatus",1,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"29","11","2020-06_south-west_stereo-BRUVs","Labridae Coris auricularis","Labridae","Coris","auricularis",3,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"30","11","2020-06_south-west_stereo-BRUVs","Labridae Ophthalmolepis lineolatus","Labridae","Ophthalmolepis","lineolatus",3,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"31","11","2020-06_south-west_stereo-BRUVs","Labridae Pseudolabrus biserialis","Labridae","Pseudolabrus","biserialis",6,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"32","11","2020-06_south-west_stereo-BRUVs","Myliobatidae Myliobatis tenuicaudatus","Myliobatidae","Myliobatis","tenuicaudatus",1,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"33","11","2020-06_south-west_stereo-BRUVs","Pomacentridae Chromis klunzingeri","Pomacentridae","Chromis","klunzingeri",53,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"34","11","2020-06_south-west_stereo-BRUVs","Scorpididae Neatypus obliquus","Scorpididae","Neatypus","obliquus",4,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"35","11","2020-06_south-west_stereo-BRUVs","Serranidae Caesioperca sp1","Serranidae","Caesioperca","sp1",3,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"36","12","2020-06_south-west_stereo-BRUVs","Carangidae Seriola hippos","Carangidae","Seriola","hippos",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"37","12","2020-06_south-west_stereo-BRUVs","Cheilodactylidae Nemadactylus valenciennesi","Cheilodactylidae","Nemadactylus","valenciennesi",2,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"38","12","2020-06_south-west_stereo-BRUVs","Kyphosidae Kyphosus sydneyanus","Kyphosidae","Kyphosus","sydneyanus",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"39","12","2020-06_south-west_stereo-BRUVs","Labridae Bodianus frenchii","Labridae","Bodianus","frenchii",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"40","12","2020-06_south-west_stereo-BRUVs","Labridae Choerodon rubescens","Labridae","Choerodon","rubescens",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"41","12","2020-06_south-west_stereo-BRUVs","Labridae Coris auricularis","Labridae","Coris","auricularis",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"42","12","2020-06_south-west_stereo-BRUVs","Labridae Ophthalmolepis lineolatus","Labridae","Ophthalmolepis","lineolatus",4,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"43","12","2020-06_south-west_stereo-BRUVs","Labridae Pseudolabrus biserialis","Labridae","Pseudolabrus","biserialis",3,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"44","12","2020-06_south-west_stereo-BRUVs","Monacanthidae Meuschenia flavolineata","Monacanthidae","Meuschenia","flavolineata",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"45","12","2020-06_south-west_stereo-BRUVs","Monacanthidae Meuschenia galii","Monacanthidae","Meuschenia","galii",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"46","12","2020-06_south-west_stereo-BRUVs","Myliobatidae Myliobatis tenuicaudatus","Myliobatidae","Myliobatis","tenuicaudatus",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"47","12","2020-06_south-west_stereo-BRUVs","Orectolobidae Orectolobus maculatus","Orectolobidae","Orectolobus","maculatus",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"48","12","2020-06_south-west_stereo-BRUVs","Pomacentridae Parma bicolor","Pomacentridae","Parma","bicolor",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"49","12","2020-06_south-west_stereo-BRUVs","Scorpaenidae Scorpaena sumptuosa","Scorpaenidae","Scorpaena","sumptuosa",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"50","12","2020-06_south-west_stereo-BRUVs","Scorpididae Neatypus obliquus","Scorpididae","Neatypus","obliquus",17,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"51","12","2020-06_south-west_stereo-BRUVs","Serranidae Epinephelides armatus","Serranidae","Epinephelides","armatus",3,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"52","12","2020-06_south-west_stereo-BRUVs","Sparidae Chrysophrys auratus","Sparidae","Chrysophrys","auratus",5,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"53","12","2020-06_south-west_stereo-BRUVs","Triakidae Furgaleus macki","Triakidae","Furgaleus","macki",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"54","13","2020-06_south-west_stereo-BRUVs","Carangidae Seriola hippos","Carangidae","Seriola","hippos",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"55","13","2020-06_south-west_stereo-BRUVs","Cheilodactylidae Nemadactylus valenciennesi","Cheilodactylidae","Nemadactylus","valenciennesi",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"56","13","2020-06_south-west_stereo-BRUVs","Dasyatidae Bathytoshia brevicaudata","Dasyatidae","Bathytoshia","brevicaudata",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"57","13","2020-06_south-west_stereo-BRUVs","Labridae Austrolabrus maculatus","Labridae","Austrolabrus","maculatus",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"58","13","2020-06_south-west_stereo-BRUVs","Labridae Coris auricularis","Labridae","Coris","auricularis",4,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"59","13","2020-06_south-west_stereo-BRUVs","Labridae Ophthalmolepis lineolatus","Labridae","Ophthalmolepis","lineolatus",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"60","13","2020-06_south-west_stereo-BRUVs","Labridae Pseudolabrus biserialis","Labridae","Pseudolabrus","biserialis",9,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"61","13","2020-06_south-west_stereo-BRUVs","Monacanthidae Meuschenia flavolineata","Monacanthidae","Meuschenia","flavolineata",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"62","13","2020-06_south-west_stereo-BRUVs","Pomacentridae Parma bicolor","Pomacentridae","Parma","bicolor",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"63","13","2020-06_south-west_stereo-BRUVs","Serranidae Caesioperca rasor","Serranidae","Caesioperca","rasor",3,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"64","13","2020-06_south-west_stereo-BRUVs","Serranidae Epinephelides armatus","Serranidae","Epinephelides","armatus",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"65","13","2020-06_south-west_stereo-BRUVs","Serranidae Hypoplectrodes nigroruber","Serranidae","Hypoplectrodes","nigroruber",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"66","13","2020-06_south-west_stereo-BRUVs","Triakidae Furgaleus macki","Triakidae","Furgaleus","macki",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"67","13","2020-06_south-west_stereo-BRUVs","Urolophidae Trygonoptera ovalis","Urolophidae","Trygonoptera","ovalis",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"68","14","2020-06_south-west_stereo-BRUVs","Carcharhinidae Carcharhinus brevipinna","Carcharhinidae","Carcharhinus","brevipinna",2,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"69","14","2020-06_south-west_stereo-BRUVs","Cheilodactylidae Nemadactylus valenciennesi","Cheilodactylidae","Nemadactylus","valenciennesi",2,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"70","14","2020-06_south-west_stereo-BRUVs","Glaucosomatidae Glaucosoma hebraicum","Glaucosomatidae","Glaucosoma","hebraicum",3,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"71","14","2020-06_south-west_stereo-BRUVs","Labridae Coris auricularis","Labridae","Coris","auricularis",6,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"72","14","2020-06_south-west_stereo-BRUVs","Labridae Ophthalmolepis lineolatus","Labridae","Ophthalmolepis","lineolatus",8,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"73","14","2020-06_south-west_stereo-BRUVs","Labridae Pseudolabrus biserialis","Labridae","Pseudolabrus","biserialis",5,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"74","14","2020-06_south-west_stereo-BRUVs","Pempherididae Pempheris klunzingeri","Pempherididae","Pempheris","klunzingeri",148,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"75","14","2020-06_south-west_stereo-BRUVs","Plesiopidae Trachinops noarlungae","Plesiopidae","Trachinops","noarlungae",10,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"76","14","2020-06_south-west_stereo-BRUVs","Pomacentridae Chromis klunzingeri","Pomacentridae","Chromis","klunzingeri",22,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"77","14","2020-06_south-west_stereo-BRUVs","Scorpididae Neatypus obliquus","Scorpididae","Neatypus","obliquus",5,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"78","14","2020-06_south-west_stereo-BRUVs","Scorpididae Scorpis georgiana","Scorpididae","Scorpis","georgiana",1,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"79","14","2020-06_south-west_stereo-BRUVs","Scorpididae Tilodon sexfasciatus","Scorpididae","Tilodon","sexfasciatus",1,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"80","14","2020-06_south-west_stereo-BRUVs","Serranidae Caesioperca rasor","Serranidae","Caesioperca","rasor",3,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"81","14","2020-06_south-west_stereo-BRUVs","Serranidae Epinephelides armatus","Serranidae","Epinephelides","armatus",1,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"82","14","2020-06_south-west_stereo-BRUVs","Sparidae Chrysophrys auratus","Sparidae","Chrysophrys","auratus",2,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"83","15","2020-06_south-west_stereo-BRUVs","Carangidae Pseudocaranx spp","Carangidae","Pseudocaranx","spp",6,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
"84","15","2020-06_south-west_stereo-BRUVs","Cheilodactylidae Nemadactylus valenciennesi","Cheilodactylidae","Nemadactylus","valenciennesi",1,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
"85","15","2020-06_south-west_stereo-BRUVs","Labridae Choerodon rubescens","Labridae","Choerodon","rubescens",1,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
"86","15","2020-06_south-west_stereo-BRUVs","Labridae Coris auricularis","Labridae","Coris","auricularis",6,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
"87","15","2020-06_south-west_stereo-BRUVs","Labridae Ophthalmolepis lineolatus","Labridae","Ophthalmolepis","lineolatus",4,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
"88","15","2020-06_south-west_stereo-BRUVs","Labridae Pseudolabrus biserialis","Labridae","Pseudolabrus","biserialis",9,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
"89","15","2020-06_south-west_stereo-BRUVs","Muraenidae Gymnothorax prasinus","Muraenidae","Gymnothorax","prasinus",1,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
"90","15","2020-06_south-west_stereo-BRUVs","Pomacentridae Chromis klunzingeri","Pomacentridae","Chromis","klunzingeri",1,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
"91","15","2020-06_south-west_stereo-BRUVs","Scorpididae Scorpis aequipinnis","Scorpididae","Scorpis","aequipinnis",1,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
"92","15","2020-06_south-west_stereo-BRUVs","Serranidae Caesioperca rasor","Serranidae","Caesioperca","rasor",2,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
"93","15","2020-06_south-west_stereo-BRUVs","Serranidae Epinephelides armatus","Serranidae","Epinephelides","armatus",1,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
"94","15","2020-06_south-west_stereo-BRUVs","Triakidae Furgaleus macki","Triakidae","Furgaleus","macki",1,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
"95","15","2020-06_south-west_stereo-BRUVs","Triakidae Mustelus antarcticus","Triakidae","Mustelus","antarcticus",1,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
"96","15","2020-06_south-west_stereo-BRUVs","Rhinobatidae Trygonorrhina dumerilii","Rhinobatidae","Trygonorrhina","dumerilii",1,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
