,X.1,sample,scientific,maxn,family,genus,species,campaignid,dataset,planned.or.exploratory,latitude,longitude,date,time,location,status,site,depth,observer,successful.count,successful.length,id,unique.name,full.name,X,cluster,cluster.new,number,n,coords.x1,coords.x2,class,depth.1,slope,aspect,roughness,tpi,flowdir,detrended.bathy,detr.slope,detr.flowdir,detr.tri,detr.tpi,detr.aspect,SSTmean_SSTARRS,SSTsterr_SSTARRS,SSTtrend_SSTARRS,optional
11,11,21,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.128151,114.817448,20200603,8:24:00,South-west,No-take,NA,52.4,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.21,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-51,0.004340816,4.712388992,2,0,16,36.96670151,0.001407845,16,0.256017476,7.11E-14,4.879113197,20.11408806,0.018714249,0.177060023,TRUE
12,12,22,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.126271,114.819552,20200603,8:32:00,South-west,No-take,NA,51.9,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.22,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-50,0.004340688,4.712388992,2,0,16,37.2219429,0.001407804,16,0.256017476,-7.11E-14,4.879117966,20.05408669,0.018714249,0.177060023,TRUE
13,13,23,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.124217,114.817017,20200603,8:38:00,South-west,No-take,NA,51.3,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.23,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-51,0.004340559,4.712388992,2,0,16,36.83753204,0.001407764,16,0.256017476,0,4.879122734,20.11408806,0.018714249,0.177060023,TRUE
14,14,24,Aplodactylidae Aplodactylus westralis,1,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.118739,114.826402,20200603,8:47:00,South-west,No-take,NA,49.8,Hayey,Yes,NA,2020-06_south-west_stereo-BRUVs.24,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-48,0.001412546,4.017577648,2,0,8,36.9876709,0.001983908,1,0.40389663,-6.39E-14,1.915679455,20.05408669,0.018714249,0.177060023,TRUE
15,15,25,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.116829,114.828432,20200603,8:54:00,South-west,No-take,NA,48.4,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.25,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-47,0.002351,4.317534924,1,0.5,16,37.24291611,0.001030232,1,0.5,0.5,2.279763937,20.03408813,0.018714249,0.167060018,TRUE
16,16,26,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.120881,114.828907,20200603,9:02:00,South-west,No-take,NA,48.4,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.26,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-48,0.002170226,4.712388992,1,-0.375,64,36.37208557,0.000816182,64,0.391146332,-0.375,1.280480862,20.05408669,0.018714249,0.177060023,TRUE
17,17,27,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.121824,114.832898,20200603,10:19:00,South-west,No-take,NA,47.8,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.27,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-47,0.001689314,4.441411495,1,-0.25,8,36.01174164,0.001342493,2,0.420042962,-0.25,1.734317183,20.05408669,0.018714249,0.177060023,TRUE
18,18,28,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.112916,114.852137,20200603,10:27:00,South-west,No-take,NA,44.7,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.28,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-44,0.002350941,5.107253551,1,-0.5,32,34.05678558,0.001380766,64,0.516146302,-0.5,0.602036834,19.96408844,0.018714249,0.187060013,TRUE
19,19,29,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.111084,114.855648,20200603,10:31:00,South-west,No-take,NA,43,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.29,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-43,0.001461005,3.522017241,1,-0.25,32,33.63185501,0.002658231,1,0.573939562,-0.25,2.006920576,19.96408844,0.018714249,0.187060013,TRUE
20,20,30,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.112094,114.85946,20200603,10:37:00,South-west,No-take,NA,42.9,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.30,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-43,0.002109199,3.681907654,1,-0.5,8,32.95168304,0.002442606,2,0.65389663,-0.5,2.271615505,19.9140873,0.018714249,0.207060024,TRUE
21,21,31,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.116007,114.860738,20200603,10:42:00,South-west,No-take,NA,44.4,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.31,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-43,0.001461017,5.902740479,1,-0.25,128,32.40068054,0.002886975,1,0.622378528,-0.25,0.987457395,19.9140873,0.018714249,0.207060024,TRUE
22,22,32,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.130076,114.86109,20200603,10:49:00,South-west,No-take,NA,43.2,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.32,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-43,3.47E-18,4.712388992,0,0,64,32.78819275,0.002961827,1,0.526275158,0,1.491832137,19.92408752,0.018714249,0.197060019,TRUE
23,23,33,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.133067,114.8627,20200603,10:54:00,South-west,No-take,NA,43.6,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.33,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-43,3.47E-18,1.570796371,0,0,16,32.17260742,0.002961914,1,0.526275158,-7.11E-14,1.491834521,19.92408752,0.018714249,0.197060019,TRUE
24,24,34,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.131334,114.866053,20200603,12:18:00,South-west,No-take,NA,42.7,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.34,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-43,0.000706335,4.017650604,1,-0.125,64,31.42785072,0.00241987,1,0.465085894,-0.125,1.661233664,19.92408752,0.018714249,0.197060019,TRUE
25,25,35,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.134801,114.869348,20200603,12:23:00,South-west,No-take,NA,43.8,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.35,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-43,0.002170547,4.712388992,1,-0.375,32,30.81226349,0.000816293,64,0.391146332,-0.375,1.280521512,19.92408752,0.018714249,0.197060019,TRUE
26,26,36,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.130484,114.878263,20200603,12:29:00,South-west,No-take,NA,42.2,Hayey,Yes,NA,2020-06_south-west_stereo-BRUVs.36,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-41,0.000706335,5.40712738,1,0.125,32,30.02699089,0.002505664,1,0.497378558,0.125,1.293550611,19.92408752,0.018714249,0.197060019,TRUE
27,27,37,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.126354,114.878937,20200603,12:34:00,South-west,No-take,NA,41.2,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.37,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-42,0.002351237,5.107201099,1,-0.5,32,28.89781952,0.001380831,64,0.516146302,-0.5,0.602105796,19.87408829,0.018714249,0.197060019,TRUE
28,28,38,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.127912,114.883938,20200603,12:39:00,South-west,No-take,NA,41.8,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.38,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-41,3.47E-18,1.570796371,0,0,128,28.60206223,0.00296174,1,0.526275158,1.52E-12,1.491829872,19.87408829,0.018714249,0.197060019,TRUE
29,29,39,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.132294,114.884797,20200603,12:42:00,South-west,No-take,NA,42.2,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.39,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-41,0,1.570796371,0,0,32,28.66664696,0.002961827,1,0.526275158,1.45E-12,1.491832137,19.87408829,0.018714249,0.197060019,TRUE
30,30,40,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.133669,114.880443,20200603,12:46:00,South-west,No-take,NA,41.2,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.40,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-41,0,1.570796371,0,0,128,29.41140366,0.002961914,1,0.526275158,-7.11E-14,1.491834521,19.87408829,0.018714249,0.197060019,TRUE
31,31,FH10,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.98618897,114.8863721,20201013,12:32:00,NA,NA,NA,42.9,Hayley,Yes,Yes - 24 of 47 coris measured,2020-10_south-west_stereo-BRUVs.FH10,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,16,12223,C.FH.24,10,1,114.8863721,-33.98618897,MBH,-42,3.47E-18,1.570796371,0,0,8,23.24052811,0.002956796,1,0.526275158,-1.52E-12,1.49169755,19.79408836,0.018714249,0.22706002,TRUE
32,32,FH102,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.68868897,114.9288721,20201017,6:42:00,NA,NA,NA,44.1,Daphne,Yes,Yes,2020-10_south-west_stereo-BRUVs.FH102,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,78,709,C.FH.3,102,1,114.9288721,-33.68868897,MBH,-44,0.001808737,3.77E-15,1,0.375,64,1.991956949,0.003577572,1,0.747378528,0.375,0.963218331,19.73408699,0.028714249,0.207060024,TRUE
33,33,FH106,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.78868897,114.8163721,20201012,13:16:00,NA,NA,NA,47.1,Hayley,Yes,NA,2020-10_south-west_stereo-BRUVs.FH106,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,64,4941,C.FH.12,106,1,114.8163721,-33.78868897,MBH,-45,0.002107091,0.53864485,3,-0.125,64,34.18310165,0.004510487,1,0.901275158,-0.125,1.10089004,20.05408669,0.018714249,0.207060024,TRUE
34,34,FH108,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.76118897,114.9238721,20201017,9:32:00,NA,NA,NA,44.7,Daphne,Yes,Yes,2020-10_south-west_stereo-BRUVs.FH108,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,44,3872,C.FH.9,108,1,114.9238721,-33.76118897,MBH,-44,0.00146018,3.520602226,1,0.25,4,5.225274086,0.002649276,1,0.573939562,0.25,2.008496523,19.72408676,0.018714249,0.197060019,TRUE
35,35,FH109,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.91618897,114.9088721,20201029,13:04:00,NA,NA,NA,45.9,Rachel,Yes,come back with different CAL,2020-10_south-west_stereo-BRUVs.FH109,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,107,9632,C.FH.20,109,1,114.9088721,-33.91618897,MBH,-44,0.002346287,1.175104856,1,0.5,1,13.31059361,0.005235264,1,1.026275158,0.5,1.351675987,19.73408699,0.018714249,0.217060015,TRUE
36,36,FH11,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.89868897,114.9388721,20201029,14:48:00,NA,NA,NA,42.3,Rachel,Yes,Yes,2020-10_south-west_stereo-BRUVs.FH11,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,96,8989,C.FH.18,11,1,114.9388721,-33.89868897,MBH,-37,0.009767571,5.193686962,6,0.875,16,11.69643497,0.007433612,16,1.81720674,0.875,5.406517029,NA,NA,NA,TRUE
37,37,FH110,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.80868897,114.8213721,20201012,15:06:00,NA,NA,NA,44.7,Daphne,Yes,NA,2020-10_south-west_stereo-BRUVs.FH110,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,70,5597,C.FH.13,110,1,114.8213721,-33.80868897,MBH,-45,0.002740395,4.546624184,2,0,32,33.33943939,0.000323558,2,0.329957038,1.52E-12,2.312376499,19.97408676,0.018714249,0.22706002,TRUE
38,38,FH111,Aplodactylidae Aplodactylus westralis,1,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.98618897,114.8788721,20201013,12:28:00,NA,NA,NA,41.4,Daphne,Yes,NA,2020-10_south-west_stereo-BRUVs.FH111,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,14,12223,C.FH.24,111,1,114.8788721,-33.98618897,MBH,-42,0.002166772,1.570796371,1,-0.375,128,25.28104401,0.005119625,1,0.901275158,-0.375,1.525145531,19.79408836,0.018714249,0.22706002,TRUE
39,39,FH12,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.91868897,114.8963721,20201029,12:46:00,NA,NA,NA,46.1,Rachel,Yes,Yes,2020-10_south-west_stereo-BRUVs.FH12,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,112,9716,C.FH.21,12,1,114.8963721,-33.91868897,MBH,-43,0.002821165,0.874826074,2,0.25,1,17.77603722,0.00550324,1,1.026275158,0.25,1.19058311,19.79408836,0.018714249,0.217060015,TRUE
40,40,FH15,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.68868897,114.8063721,20201012,10:29:00,NA,NA,NA,48,Daphne,Yes,NA,2020-10_south-west_stereo-BRUVs.FH15,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,6,1123,C.FH.4,15,1,114.8063721,-33.68868897,MBH,-45,0.002816707,2.268089294,2,0.25,1,34.32037735,0.005334358,1,1.010128856,0.25,1.870536804,20.0940876,0.018714249,0.167060018,TRUE
41,41,FH16,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.90118897,114.8563721,20201013,8:02:00,NA,NA,NA,43.1,Hayley,Yes,check calibration,2020-10_south-west_stereo-BRUVs.FH16,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,101,9048,C.FH.19,16,1,114.8563721,-33.90118897,MBH,-43,0,1.570796371,0,0,128,28.20668983,0.002953863,1,0.526275158,-1.52E-12,1.491618872,19.9140873,0.018714249,0.217060015,TRUE
42,42,FH17,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.83368897,114.8763721,20201012,15:35:00,NA,NA,NA,42.9,Daphne,Yes,NA,2020-10_south-west_stereo-BRUVs.FH17,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,74,6544,C.FH.14,17,1,114.8763721,-33.83368897,MBH,-43,3.47E-18,4.712388992,0,0,128,21.02151299,0.002951544,1,0.526275158,0,1.491556525,19.86408806,0.018714249,0.207060024,TRUE
43,43,FH18,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.79118897,114.8213721,20201012,13:19:00,NA,NA,NA,43.5,Daphne,Yes,Yes,2020-10_south-west_stereo-BRUVs.FH18,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,67,4941,C.FH.12,18,1,114.8213721,-33.79118897,MBH,-45,0.004228016,4.015684128,3,-0.5,4,32.88734055,0.002497781,4,0.887750328,-0.5,3.262761116,19.98408699,0.018714249,0.197060019,TRUE
44,44,FH20,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.78618897,114.8738721,20201017,11:40:00,NA,NA,NA,43.1,Daphne,Yes,Yes,2020-10_south-west_stereo-BRUVs.FH20,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,55,4688,C.FH.11,20,1,114.8738721,-33.78618897,MBH,-44,0.001683153,1.29880178,1,-0.25,64,19.4745636,0.004613165,1,0.776275158,-0.25,1.421578288,19.85408783,0.018714249,0.22706002,TRUE
45,45,FH21,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.79368897,114.8088721,20201012,13:26:00,NA,NA,NA,45,Daphne,Yes,NA,2020-10_south-west_stereo-BRUVs.FH21,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,66,4941,C.FH.12,21,1,114.8088721,-33.79368897,MBH,-45,0.00140937,4.015698433,1,-0.375,64,36.35278702,0.00197721,2,0.545042932,-0.375,1.916896582,20.05408669,0.018714249,0.207060024,TRUE
46,46,FH23,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.94618897,114.8288721,20201013,9:51:00,NA,NA,NA,44.2,Daphne,Yes,NA,2020-10_south-west_stereo-BRUVs.FH23,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,2,10620,C.FH.22,23,1,114.8288721,-33.94618897,MBH,-44,0.000705427,5.408200264,2,0,64,35.85111618,0.002500614,1,0.590085924,-6.39E-14,1.292975903,19.97408676,0.018714249,0.247060016,TRUE
47,47,FH25,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.87868897,114.8163721,20201013,7:34:00,NA,NA,NA,45.4,Hayley,Yes,NA,2020-10_south-west_stereo-BRUVs.FH25,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,90,8104,C.FH.16,25,1,114.8163721,-33.87868897,MBH,-45,0.001460455,5.903703213,1,0.25,64,36.50817108,0.002881363,1,0.622378528,0.25,0.986171484,20.02408791,0.018714249,0.23706001,TRUE
48,48,FH26,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-10_south-west_stereo-BRUVs,FH,MBH,-33.81118897,114.8288721,20201012,15:10:00,NA,NA,NA,44.1,Daphne,Yes,check calibration,2020-10_south-west_stereo-BRUVs.FH26,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,71,5597,C.FH.13,26,1,114.8288721,-33.81118897,MBH,-44,0.00140954,4.015799046,2,0,4,32.36351013,0.001977568,4,0.590085924,7.11E-15,1.916831374,19.97408676,0.018714249,0.22706002,TRUE
