OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
FH11	20	FH11_L372.avi	73877	FH11_R371.avi	75007	49.25133	1	42.09733	166.28110	1.09248	2.82673	1096.97170	38.48060	29.06943	14.77538	682.58716	2.06348	-858.73013	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
FH11	21	FH11_L372.avi	86285	FH11_R371.avi	87415	57.52333	1	50.36933	74.61731	3.47318	16.58476	1849.40825	34.80938	58.36459	18.00854	1034.51601	210.58104	-1518.46735	Pomacentridae	Chromis	klunzingeri	37372044	5	AD	Passing			
FH11	22	FH11_L372.avi	86285	FH11_R371.avi	87415	57.52333	1	50.36933	55.10325	2.70979	17.14532	1616.37418	31.98009	55.37810	1.34033	826.36070	223.57580	-1371.06066	Pomacentridae	Chromis	klunzingeri	37372044	5	AD	Passing			
FH11	23	FH11_L372.avi	86285	FH11_R371.avi	87415	57.52333	1	50.36933	47.38060	3.07436	16.30076	1859.83941	44.06736	39.39116	28.61014	1269.65396	247.35716	-1336.33674	Pomacentridae	Chromis	klunzingeri	37372044	5	AD	Passing			
FH11	24	FH11_L372.avi	86323	FH11_R371.avi	87453	57.54867	1	50.39467	52.23468	1.81209	14.68770	1363.89616	36.09278	41.71326	4.81735	788.15277	156.10689	-1102.11550	Pomacentridae	Chromis	klunzingeri	37372044	5	AD	Passing			
FH11	25	FH11_L372.avi	86455	FH11_R371.avi	87585	57.63667	1	50.48267	73.77931	0.61661	10.47597	786.04161	36.40868	39.27677	0.07505	462.37495	62.25947	-632.60935	Pomacentridae	Chromis	klunzingeri	37372044	6	AD	Passing			
FH11	26	FH11_L372.avi	97014	FH11_R371.avi	98144	64.67600	1	57.52200	911.25511	3.22466	7.97251	1862.99236	32.98683	33.31581	2.11969	1010.52218	-87.45020	-1562.67012	Dasyatidae	Dasyatis	brevicaudata	37035001	1	AD	Feeding			
FH11	27	FH11_L372.avi	99098	FH11_R371.avi	100228	66.06533	1	58.91133	649.82777	2.85479	6.33627	1536.26407	36.43405	72.59163	0.65437	909.65226	70.53607	-1235.98735	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
FH12	1	FH12_L373.avi	13084	FH12_R374.avi	13737	8.72267	1	4.49267	214.35125	1.14216	4.54766	1917.62551	2.32985	6.59128	4.67975	-17.07991	-76.06205	-1916.04030	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing			
FH12	2	FH12_L373.avi	13404	FH12_R374.avi	14057	8.93600	1	4.70600	120.88049	5.02727	6.56727	3109.08777	20.00946	22.29822	33.31850	-1048.77544	-178.47504	-2921.41122	Labridae	Eupetrichthys	angustipes	37384105	1	AD	Passing			
FH12	3	FH12_L373.avi	14861	FH12_R374.avi	15514	9.90733	1	5.67733	81.66671	0.92963	2.14424	1329.50755	13.91880	11.42478	11.42045	-303.80210	-99.90875	-1290.47001	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
FH12	4	FH12_L373.avi	15133	FH12_R374.avi	15786	10.08867	1	5.85867	139.40272	1.27094	4.29562	1696.05028	17.58849	2.66765	20.02942	-500.70392	-109.36987	-1616.76231	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
FH12	5	FH12_L373.avi	24354	FH12_R374.avi	25007	16.23600	1	12.00600	58.65237	2.74304	1.49733	1690.12635	20.01580	49.60264	17.06088	540.86706	-205.23062	-1588.03977	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
FH12	6	FH12_L373.avi	24502	FH12_R374.avi	25155	16.33467	1	12.10467	104.82246	2.33104	0.94235	1575.91909	20.28274	47.34624	16.24157	498.72154	-222.97415	-1478.20172	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
FH12	8	FH12_L373.avi	33857	FH12_R374.avi	34510	22.57133	1	18.34133	77.84625	0.87037	0.98487	1055.46841	12.25439	27.24479	7.82639	-22.77422	-222.86532	-1031.41939	Odacidae	Siphonognathus	caninis	37385011	1	AD	Passing			
FH12	9	FH12_L373.avi	38823	FH12_R374.avi	39476	25.88200	1	21.65200	172.02122	2.04766	4.10004	1619.20713	10.49872	29.22796	0.00114	-294.60351	-16.07061	-1592.09994	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
FH12	10	FH12_L373.avi	38958	FH12_R374.avi	39611	25.97200	1	21.74200	185.38367	2.03315	3.63975	1834.92325	1.12217	21.68321	4.75764	-3.96796	35.71598	-1834.57133	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
FH12	11	FH12_L373.avi	46009	FH12_R374.avi	46662	30.67267	1	26.44267	230.70888	0.82164	0.81581	1494.09871	6.29612	1.83727	2.49679	154.61880	-54.23004	-1485.08689	Monacanthidae	Meuschenia	galii	37465040	1	AD	Passing			
FH12	13	FH12_L373.avi	63898	FH12_R374.avi	64551	42.59867	1	38.36867	382.33535	1.27232	7.26138	1738.57437	4.96187	10.97098	1.33523	-88.00359	121.93329	-1732.05903	Labridae	Coris	auricularis	37384088	1	M	Passing			
FH12	14	FH12_L373.avi	64264	FH12_R374.avi	64917	42.84267	1	38.61267	188.20473	0.77705	4.59431	1200.20178	9.00915	13.60701	24.42020	180.63644	51.89174	-1185.39530	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	15	FH12_L373.avi	64308	FH12_R374.avi	64961	42.87200	1	38.64200	142.11096	3.04780	5.41603	2082.39964	18.02094	52.65042	51.19146	570.71432	298.83978	-1980.24448	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	16	FH12_L373.avi	64312	FH12_R374.avi	64965	42.87467	1	38.64467	139.43832	2.61400	1.35170	2681.45435	9.52360	16.17376	45.31280	-52.61279	440.52618	-2644.49731	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	17	FH12_L373.avi	64325	FH12_R374.avi	64978	42.88333	1	38.65333	274.13299	0.98344	5.70178	1334.62208	9.84128	13.55391	2.84721	-227.81707	11.61386	-1314.98311	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	18	FH12_L373.avi	64328	FH12_R374.avi	64981	42.88533	1	38.65533	149.36012	4.17648	1.61543	2333.94040	10.61285	39.57959	36.36096	-163.08063	397.70884	-2294.01616	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	19	FH12_L373.avi	64328	FH12_R374.avi	64981	42.88533	1	38.65533	155.35847	4.05513	12.84827	2012.31504	13.26936	66.53359	40.76861	314.36129	338.40036	-1958.58980	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	20	FH12_L373.avi	64330	FH12_R374.avi	64983	42.88667	1	38.65667	105.19557	4.31587	1.53268	1981.75251	19.60670	74.25321	26.71151	634.28829	199.75921	-1866.84698	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	21	FH12_L373.avi	64335	FH12_R374.avi	64988	42.89000	1	38.66000	148.80133	3.53053	4.71875	1906.64074	10.14985	63.99117	43.29116	218.89927	254.90244	-1876.80227	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	22	FH12_L373.avi	64348	FH12_R374.avi	65001	42.89867	1	38.66867	275.68013	3.25222	3.83371	1861.26853	11.42008	48.83943	33.32407	167.05242	328.49638	-1824.41885	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	24	FH12_L373.avi	64368	FH12_R374.avi	65021	42.91200	1	38.68200	140.19366	1.88029	0.66693	2279.77523	15.14964	9.15400	25.80661	402.93600	438.88289	-2200.54527	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	25	FH12_L373.avi	64370	FH12_R374.avi	65023	42.91333	1	38.68333	124.48687	1.39970	3.70709	2185.04316	10.19683	2.21148	31.93183	373.16779	101.85599	-2150.53128	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	27	FH12_L373.avi	64373	FH12_R374.avi	65026	42.91533	1	38.68533	164.73057	2.44567	5.62513	2520.90126	11.73361	13.90766	17.37206	-122.86047	497.71512	-2468.22368	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	28	FH12_L373.avi	64374	FH12_R374.avi	65027	42.91600	1	38.68600	193.89540	12.25848	4.41103	3416.05659	12.19923	48.78930	6.97780	-533.33273	486.44333	-3338.91775	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	31	FH12_L373.avi	64388	FH12_R374.avi	65041	42.92533	1	38.69533	122.36130	4.12550	7.69539	2629.76324	11.31271	22.38776	12.58139	-514.50067	37.48290	-2578.66997	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	32	FH12_L373.avi	64396	FH12_R374.avi	65049	42.93067	1	38.70067	221.57862	4.32648	8.22964	2824.90313	5.50658	35.96103	52.96910	233.24722	138.12694	-2811.86670	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	33	FH12_L373.avi	64404	FH12_R374.avi	65057	42.93600	1	38.70600	323.27849	1.06054	3.43170	1576.25887	9.23040	15.29196	51.79541	-44.68490	248.85979	-1555.84835	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	35	FH12_L373.avi	64429	FH12_R374.avi	65082	42.95267	1	38.72267	136.45790	2.70861	0.95298	2895.23206	15.57245	2.89496	30.38199	709.74143	316.82169	-2788.95317	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	52	FH12_L373.avi	64436	FH12_R374.avi	65089	42.95733	1	38.72733	226.00468	4.94868	2.59389	3049.35178	13.99728	59.82284	67.89382	-402.08864	618.32525	-2958.80802	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	53	FH12_L373.avi	64452	FH12_R374.avi	65105	42.96800	1	38.73800	203.50880	1.10218	6.12795	1467.27022	9.02228	14.27448	7.75231	193.93700	-123.82331	-1449.11633	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	54	FH12_L373.avi	64456	FH12_R374.avi	65109	42.97067	1	38.74067	105.26705	1.89675	8.60685	2163.04214	17.80691	4.19389	23.95796	-637.98982	-174.71396	-2059.41626	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	55	FH12_L373.avi	64480	FH12_R374.avi	65133	42.98667	1	38.75667	147.64003	2.62708	1.32049	1581.90216	19.66828	57.89452	18.85826	532.08181	19.17244	-1489.60928	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	56	FH12_L373.avi	64483	FH12_R374.avi	65136	42.98867	1	38.75867	151.91823	1.18788	3.09092	1604.39589	5.73000	13.45557	16.85352	157.58306	-28.74956	-1596.37941	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	58	FH12_L373.avi	64495	FH12_R374.avi	65148	42.99667	1	38.76667	152.18021	1.69191	6.59476	2151.36244	10.33805	7.57414	8.05591	373.09733	99.25529	-2116.43737	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	59	FH12_L373.avi	64497	FH12_R374.avi	65150	42.99800	1	38.76800	259.54659	0.58768	7.55536	891.24983	0.66758	18.16763	3.19229	10.34391	0.91289	-891.18934	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	60	FH12_L373.avi	64514	FH12_R374.avi	65167	43.00933	1	38.77933	149.48236	0.99594	9.03201	1422.06113	12.04385	14.11327	28.51948	237.74652	177.54943	-1390.75902	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	61	FH12_L373.avi	64527	FH12_R374.avi	65180	43.01800	1	38.78800	125.82857	1.22685	6.05329	1908.10376	10.58267	4.57875	4.65625	-283.29610	206.26494	-1875.64870	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	62	FH12_L373.avi	64527	FH12_R374.avi	65180	43.01800	1	38.78800	127.44131	1.37873	5.73251	1440.55058	10.43173	24.54715	19.79950	173.58513	194.68245	-1416.74024	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	63	FH12_L373.avi	64528	FH12_R374.avi	65181	43.01867	1	38.78867	138.81778	3.04073	5.58063	1917.06338	10.87239	33.04026	0.35999	-293.06524	211.82043	-1882.65156	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	64	FH12_L373.avi	64529	FH12_R374.avi	65182	43.01933	1	38.78933	95.53340	1.30307	2.71575	1708.93182	7.12443	13.09291	17.60653	-204.91175	54.16456	-1695.73740	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	66	FH12_L373.avi	64531	FH12_R374.avi	65184	43.02067	1	38.79067	196.65991	2.64537	7.46249	2571.65820	16.00119	12.63806	4.03659	421.87768	569.69559	-2472.02186	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	67	FH12_L373.avi	64533	FH12_R374.avi	65186	43.02200	1	38.79200	152.11432	0.62257	4.89965	1194.75974	13.19302	1.59011	19.00697	123.39753	243.16441	-1163.22610	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	68	FH12_L373.avi	64538	FH12_R374.avi	65191	43.02533	1	38.79533	193.95459	6.12930	8.42550	2947.87288	17.83041	28.46191	3.77455	-846.17806	314.23336	-2806.27771	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	69	FH12_L373.avi	64548	FH12_R374.avi	65201	43.03200	1	38.80200	137.54678	1.46519	6.41548	1778.90904	19.34278	3.78073	0.43443	-555.83103	195.49545	-1678.49659	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	70	FH12_L373.avi	64548	FH12_R374.avi	65201	43.03200	1	38.80200	143.17381	0.71379	1.43573	1305.20239	11.08165	5.68506	44.28900	215.83708	127.86731	-1280.86595	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	71	FH12_L373.avi	64576	FH12_R374.avi	65229	43.05067	1	38.82067	91.00395	3.45785	6.27309	2520.55827	9.72979	20.78491	11.49642	-268.57132	330.64722	-2484.30188	Labridae	Coris	auricularis	37384088	1	F	Passing			
FH12	72	FH12_L373.avi	69490	FH12_R374.avi	70143	46.32667	1	42.09667	148.71684	5.34786	4.74910	3896.26721	4.73167	13.14245	13.06392	268.58078	176.52955	-3882.98852	Labridae	Ophthalmolepis	lineolatus	37384040	1	F	Passing			
FH12	73	FH12_L373.avi	69518	FH12_R374.avi	70171	46.34533	1	42.11533	204.28786	7.34515	3.15380	3527.91643	5.28518	24.45513	17.38990	259.53364	195.56565	-3512.91769	Labridae	Ophthalmolepis	lineolatus	37384040	1	F	Passing			
FH12	74	FH12_L373.avi	69593	FH12_R374.avi	70246	46.39533	1	42.16533	137.28620	1.95570	2.14962	1573.71105	14.96791	31.00156	10.92620	405.65992	-25.40891	-1520.31605	Labridae	Ophthalmolepis	lineolatus	37384040	1	F	Passing			
FH12	75	FH12_L373.avi	69608	FH12_R374.avi	70261	46.40533	1	42.17533	235.32712	1.22112	5.57376	1882.10650	10.00106	3.29786	3.16002	-296.23507	138.13543	-1853.50702	Labridae	Ophthalmolepis	lineolatus	37384040	1	F	Passing			
FH12	77	FH12_L373.avi	70064	FH12_R374.avi	70717	46.70933	1	42.47933	282.00494	4.77341	4.71166	3471.80033	8.80885	15.04495	10.95660	-193.05666	495.37678	-3430.84953	Labridae	Ophthalmolepis	lineolatus	37384040	1	M	Passing			
FH12	78	FH12_L373.avi	70609	FH12_R374.avi	71262	47.07267	1	42.84267	355.60085	2.39083	1.22474	1989.47730	1.87068	21.90139	6.62720	38.46350	-52.32834	-1988.41701	Neosebastidae	Neosebastes	pandus	37287003	1	AD	Passing			
FH12	79	FH12_L373.avi	72029	FH12_R374.avi	72682	48.01933	1	43.78933	493.16555	1.71254	3.25188	1679.93936	8.13305	19.82266	12.62257	-237.57238	-6.63055	-1663.04289	Monacanthidae	Meuschenia	freycineti	37465036	1	AD	Passing			
FH12	80	FH12_L373.avi	77527	FH12_R374.avi	78180	51.68467	1	47.45467	240.81146	1.41054	1.94230	1749.19902	16.56871	6.69866	4.83498	493.67313	-71.40349	-1676.56959	Monacanthidae	Scobinichthys	granulatus	37465007	1	AD	Passing			
FH12	82	FH12_L373.avi	94901	FH12_R374.avi	95554	63.26733	1	59.03733	584.05393	2.24123	3.96435	2167.53221	14.77189	11.45488	5.14534	546.46678	-82.49751	-2095.89219	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
FH18	0	FH18_L375.avi	17917	FH18_R376.avi	17331	11.94467	1	4.33400	146.03706	2.47475	7.87194	2061.73265	21.07132	19.34412	2.55811	-704.29941	-231.12804	-1923.87206	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
FH18	1	FH18_L375.avi	17952	FH18_R376.avi	17366	11.96800	1	4.35733	195.87157	5.91739	1.94393	2350.17157	15.58503	50.89534	2.06769	-596.03654	-208.39150	-2263.76232	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
FH18	2	FH18_L375.avi	17996	FH18_R376.avi	17410	11.99733	1	4.38667	184.25626	11.02905	7.63829	3365.06813	3.03447	44.50383	19.00154	22.21524	-176.74480	-3360.34988	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
FH18	3	FH18_L375.avi	20055	FH18_R376.avi	19469	13.37000	1	5.75933	104.33887	1.50655	3.40959	1349.85167	18.20332	32.40220	4.99338	390.94900	-158.02831	-1282.29694	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
FH18	4	FH18_L375.avi	20904	FH18_R376.avi	20318	13.93600	1	6.32533	106.03198	1.87203	1.24052	2124.00047	14.89999	12.96191	22.44690	-340.12961	-427.30736	-2052.58332	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
FH18	5	FH18_L375.avi	26865	FH18_R376.avi	26279	17.91000	1	10.29933	119.56598	3.61672	5.03455	1923.34032	22.77529	54.09232	14.66907	675.29536	-313.60049	-1773.37782	Labridae	Eupetrichthys	angustipes	37384105	1	AD	Passing			
FH18	8	FH18_L375.avi	27670	FH18_R376.avi	27084	18.44667	1	10.83600	68.95701	2.02744	2.08511	2128.29373	21.05521	6.46407	17.71111	-726.30068	-239.04191	-1986.19750	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
FH18	9	FH18_L375.avi	27688	FH18_R376.avi	27102	18.45867	1	10.84800	47.20338	4.97545	3.14806	2626.56923	9.74788	29.58862	4.86769	-116.42091	-429.20328	-2588.64765	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
FH18	11	FH18_L375.avi	42378	FH18_R376.avi	41792	28.25200	1	20.64133	117.65017	5.11332	5.88691	4144.25653	14.99494	8.24156	20.80223	-638.41377	-861.49138	-4003.13910	Monacanthidae	Meuschenia	venusta	37465060	1	AD	Passing			
FH18	13	FH18_L375.avi	58448	FH18_R376.avi	57862	38.96533	1	31.35467	179.22321	2.59238	1.41971	1587.14041	6.35829	88.74959	48.16868	-52.96551	-167.59842	-1577.37760	Monacanthidae	Meuschenia	galii	37465040	1	AD	Passing			
FH18	14	FH18_L375.avi	61900	FH18_R376.avi	61314	41.26667	1	33.65600	61.16042	2.98873	5.51923	2767.37015	17.41790	10.15336	15.66218	608.00422	-562.62517	-2640.47748	Serranidae	Caesioperca	sp1		1	AD	Passing			
FH18	16	FH18_L375.avi	92657	FH18_R376.avi	92071	61.77133	1	54.16067	93.41703	9.58563	11.11899	4559.38679	18.24357	15.60662	19.30548	1221.23549	-738.85633	-4330.20589	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing			
FH18	18	FH18_L375.avi	94172	FH18_R376.avi	93586	62.78133	1	55.17067	178.17817	4.10029	4.25898	3455.57866	11.45888	14.68772	43.93788	-605.12211	-324.20894	-3386.70041	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH18	19	FH18_L375.avi	94174	FH18_R376.avi	93588	62.78267	1	55.17200	153.17271	1.59034	5.46877	2264.93168	11.24277	7.98164	40.17943	168.14395	408.32062	-2221.46740	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH18	20	FH18_L375.avi	94207	FH18_R376.avi	93621	62.80467	1	55.19400	152.85575	4.43709	4.81897	3119.51119	13.96101	19.47681	36.34134	-716.65457	-229.86986	-3027.36125	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH18	21	FH18_L375.avi	94207	FH18_R376.avi	93621	62.80467	1	55.19400	96.15727	6.76151	0.78184	2901.28150	14.94100	36.21969	18.53806	-699.58480	264.79421	-2803.19452	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH18	22	FH18_L375.avi	94219	FH18_R376.avi	93633	62.81267	1	55.20200	141.98872	3.58642	8.22541	2784.02828	18.90891	11.99335	1.97312	789.21146	437.17166	-2633.78808	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH18	24	FH18_L375.avi	94231	FH18_R376.avi	93645	62.82067	1	55.21000	144.46959	4.53851	7.91785	3936.37557	10.75480	7.40981	27.86954	712.34269	179.26412	-3867.23220	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH18	25	FH18_L375.avi	94231	FH18_R376.avi	93645	62.82067	1	55.21000	122.90931	7.76158	6.64438	3032.65742	12.82970	35.28778	4.57082	646.87228	187.19619	-2956.94519	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH18	26	FH18_L375.avi	94231	FH18_R376.avi	93645	62.82067	1	55.21000	133.03920	3.77508	8.07768	3499.36858	13.03947	0.95044	11.50989	747.54716	254.04625	-3409.13688	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH18	27	FH18_L375.avi	94234	FH18_R376.avi	93648	62.82267	1	55.21200	127.36370	3.09445	7.98174	3160.16812	11.82257	10.29912	41.53682	-552.10744	-338.20442	-3093.13072	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH18	28	FH18_L375.avi	94234	FH18_R376.avi	93648	62.82267	1	55.21200	221.55301	9.98855	11.04071	3540.30151	10.13517	37.73510	25.91402	-545.81402	-300.33996	-3485.05634	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH18	29	FH18_L375.avi	94234	FH18_R376.avi	93648	62.82267	1	55.21200	114.17400	6.19533	6.34166	2843.79691	19.81991	53.50358	43.89533	918.59790	293.12254	-2675.33885	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH18	31	FH18_L375.avi	94347	FH18_R376.avi	93761	62.89800	1	55.28733	92.90665	2.14266	1.25992	2007.39492	13.43057	19.46792	6.35838	-198.44817	421.91061	-1952.49690	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH18	32	FH18_L375.avi	96514	FH18_R376.avi	95928	64.34267	1	56.73200	813.35582	38.54847	18.08328	5910.60698	6.03600	50.09050	6.50646	621.27078	17.58013	-5877.83876	Carangidae	Seriola	lalandi	37337006	1	AD	Passing			
FH20	0	FH20_L375.avi	32618	FH20_R376.avi	33414	21.74533	1	12.93867	62.03751	1.27151	0.30527	1145.81883	18.03460	42.67436	6.89469	-256.27568	-245.27548	-1089.52444	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
FH20	1	FH20_L375.avi	43448	FH20_R376.avi	44244	28.96533	1	20.15867	81.05513	5.08754	3.05748	2281.84342	9.47372	45.39050	20.37667	19.28890	-375.08496	-2250.72180	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH20	2	FH20_L375.avi	43453	FH20_R376.avi	44249	28.96867	1	20.16200	97.43566	3.43750	1.63620	1899.63798	7.21367	44.75583	26.22773	-48.12598	-233.63210	-1884.60191	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH20	4	FH20_L375.avi	43459	FH20_R376.avi	44255	28.97267	1	20.16600	92.05584	2.39025	0.91221	2110.44523	8.65658	20.10904	10.57123	-32.76780	-315.95189	-2086.40354	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH20	6	FH20_L375.avi	43474	FH20_R376.avi	44270	28.98267	1	20.17600	81.55872	5.87521	2.35137	2257.98693	12.30285	79.57904	35.38630	-7.45544	-481.07165	-2206.13224	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH20	7	FH20_L375.avi	43512	FH20_R376.avi	44308	29.00800	1	20.20133	63.86785	3.05409	4.22191	2306.47495	21.45252	20.62358	11.96043	722.27373	-435.76650	-2146.68463	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH20	8	FH20_L375.avi	43838	FH20_R376.avi	44634	29.22533	1	20.41867	841.16152	4.83082	3.84382	2129.74465	9.59983	45.40795	14.91687	-225.44722	-274.44195	-2099.92082	Dasyatidae	Dasyatis	brevicaudata	37035001	1	AD	Passing	check		
FH20	9	FH20_L375.avi	44343	FH20_R376.avi	45139	29.56200	1	20.75533	143.32042	3.22551	0.48339	2350.39458	17.99479	20.74501	5.14046	-654.85309	-313.68926	-2235.42416	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
