OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
FH7	2	FH7_L369.avi	10028	FH7_R370.avi	9655	6.68533	1	1.90200	-1151.43332	-273.05147	-5458.69377	6.23325	2.88868	29.50364	0.82792	5585.48955	11.99200	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing	high error		
FH7	3	FH7_L369.avi	10033	FH7_R370.avi	9660	6.68867	1	1.90533	-385.51456	1056.73734	-5410.19114	2.69069	5.34530	29.51535	0.76844	5525.89210	13.01556	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing	high error		
FH7	4	FH7_L369.avi	10033	FH7_R370.avi	9660	6.68867	1	1.90533	6.07517	-88.37578	-1459.61730	0.50520	0.53040	2.23695	0.92179	1462.30293	2.13462	Pomacentridae	Chromis	klunzingeri	37372044	4	AD	Passing	not in this frame		
FH7	23	FH7_L369.avi	67215	FH7_R370.avi	66842	44.81000	1	40.02667	-405.89487	-448.89780	-1868.40695	0.93642	1.10187	3.50870	1.49000	1963.97668	16.97419	Trygonorrhinidae	Trygonorrhina	dumerilii	37027011	1	AD	Passing	obstructed		
FH7	29	FH7_L369.avi	69638	FH7_R370.avi	69265	46.42533	1	41.64200	-547.04680	-217.45660	-1502.45541	0.88275	0.61850	2.19467	1.18747	1613.66658	20.93515	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH7	33	FH7_L369.avi	69668	FH7_R370.avi	69295	46.44533	1	41.66200	-728.16642	-197.55890	-1755.19585	1.23039	0.69651	2.90621	1.39969	1910.48903	22.94382	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	not in both frames		
FH7	38	FH7_L369.avi	69699	FH7_R370.avi	69326	46.46600	1	41.68267	-296.51367	-300.35197	-1229.19559	0.53716	0.57608	1.52398	2.49233	1299.63590	18.01812	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH7	42	FH7_L369.avi	69724	FH7_R370.avi	69351	46.48267	1	41.69933	302.48837	-242.10869	-1112.67180	0.48982	0.47630	1.23738	0.94259	1178.19963	18.38808	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	not in both frames		
FH7	44	FH7_L369.avi	69729	FH7_R370.avi	69356	46.48600	1	41.70267	408.33677	-211.97235	-1268.04652	0.63518	0.51927	1.58931	13.69175	1348.93038	19.35822	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH7	45	FH7_L369.avi	69729	FH7_R370.avi	69356	46.48600	1	41.70267	4.14811	-258.24663	-1031.37045	0.35954	0.46048	1.12003	0.27408	1063.21848	12.71574	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH7	46	FH7_L369.avi	69729	FH7_R370.avi	69356	46.48600	1	41.70267	-21.79509	-260.82625	-1062.37172	0.37090	0.47650	1.18757	0.01902	1094.13849	12.50186	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH7	49	FH7_L369.avi	69746	FH7_R370.avi	69373	46.49733	1	41.71400	-45.08099	-344.26005	-1554.12538	0.53704	0.79727	2.50245	0.55427	1592.43618	11.26251	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH7	50	FH7_L369.avi	69754	FH7_R370.avi	69381	46.50267	1	41.71933	-223.38247	-309.29715	-1776.69560	0.71018	0.87017	3.24701	3.44025	1817.19886	11.05809	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH7	53	FH7_L369.avi	69775	FH7_R370.avi	69402	46.51667	1	41.73333	-66.20300	-217.24095	-1254.85897	0.44312	0.53207	1.65447	2.81739	1275.24409	8.98160	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH7	55	FH7_L369.avi	69788	FH7_R370.avi	69415	46.52533	1	41.74200	896.08242	-294.19659	-3716.05915	3.35123	1.88222	13.76760	1.23593	3833.87675	13.87956	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH7	56	FH7_L369.avi	69806	FH7_R370.avi	69433	46.53733	1	41.75400	1394.64816	-279.34685	-4023.29328	5.18450	1.95791	15.52752	2.09313	4267.31379	19.24947	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH7	57	FH7_L369.avi	69821	FH7_R370.avi	69448	46.54733	1	41.76400	-414.11401	-144.81297	-1240.12229	0.62852	0.46800	1.52599	4.04728	1315.43320	19.07874	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	not in both frames		
FH7	60	FH7_L369.avi	73453	FH7_R370.avi	73080	48.96867	1	44.18533	65.80158	-238.72814	-1096.54595	0.38764	0.47713	1.26571	0.69283	1124.15924	11.43575	Labridae	Coris	auricularis	37384088	1	AD	Passing	obstructed		
FH7	67	FH7_L369.avi	76413	FH7_R370.avi	76040	50.94200	1	46.15867	-807.87868	-130.83349	-5220.98713	4.40017	2.26311	27.24436	2.31949	5284.74143	8.79376	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing	high error		
FH7	68	FH7_L369.avi	76413	FH7_R370.avi	76040	50.94200	1	46.15867	-360.70128	-126.40648	-5603.82757	2.69615	2.46569	31.50408	0.32832	5616.84676	3.68230	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing	high error		
FH20	1	FH20_L375.avi	40319	FH20_R376.avi	41115	26.87933	1	18.07267	-56.58972	-89.95223	-1222.50143	0.43335	0.43781	1.61713	0.30793	1227.11187	4.47164	Dasyatidae	Dasyatis	brevicaudata	37035001	1	AD	Passing	not flat		
FH20	4	FH20_L375.avi	43453	FH20_R376.avi	44249	28.96867	1	20.16200	866.91545	-263.83238	-1971.10243	1.58155	0.83114	3.72583	2.14643	2169.42266	24.52118	Labridae	Coris	auricularis	37384088	1	AD	Passing	not in both frames		
FH20	6	FH20_L375.avi	43466	FH20_R376.avi	44262	28.97733	1	20.17067	968.17328	-542.16670	-2396.98851	2.12229	1.48117	5.48496	5.72228	2641.37429	24.55289	Labridae	Coris	auricularis	37384088	1	AD	Passing	not in both frames		
IO229	2	IO229_L369.avi	31447	IO229_R370.avi	30881	20.96467	1	15.81933	326.33418	-329.00781	-2241.12824	1.02010	1.14552	5.13366	3.34068	2288.53576	10.76963	Urolophidae	Trygonoptera	ovalis	37038016	1	AD	Passing			
IO229	3	IO229_L369.avi	31824	IO229_R370.avi	31258	21.21600	1	16.07067	125.13828	-299.61873	-1343.99574	0.48804	0.64149	1.87978	3.00610	1382.66248	12.35294	Urolophidae	Trygonoptera	ovalis	37038016	1	AD	Passing			
IO229	13	IO229_L369.avi	50226	IO229_R370.avi	49660	33.48400	1	28.33867	-101.14523	-304.33993	-1413.24679	0.50488	0.68102	2.07636	0.83534	1449.17896	11.51824	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO229	14	IO229_L369.avi	50241	IO229_R370.avi	49675	33.49400	1	28.34867	-316.70988	-153.99402	-1410.11698	0.63647	0.54762	2.04872	0.79526	1453.42671	13.48790	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO229	15	IO229_L369.avi	50249	IO229_R370.avi	49683	33.49933	1	28.35400	-137.60828	-264.51774	-1124.50900	0.41620	0.50635	1.31714	0.33274	1163.36846	13.67242	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO229	18	IO229_L369.avi	50274	IO229_R370.avi	49708	33.51600	1	28.37067	164.95183	-37.68410	-1053.99205	0.40228	0.36736	1.17518	3.16418	1067.48697	8.91678	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO229	19	IO229_L369.avi	50274	IO229_R370.avi	49708	33.51600	1	28.37067	97.76225	-148.11325	-1430.36417	0.51095	0.55506	2.14549	7.11349	1441.33155	5.99696	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO229	20	IO229_L369.avi	50274	IO229_R370.avi	49708	33.51600	1	28.37067	-85.28825	-250.14799	-1007.78234	0.36065	0.44387	1.06485	3.51333	1041.86052	13.42991	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO229	21	IO229_L369.avi	50274	IO229_R370.avi	49708	33.51600	1	28.37067	-222.16770	-130.94939	-1344.29661	0.54130	0.50909	1.88492	0.28482	1368.80956	10.24220	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO229	22	IO229_L369.avi	50274	IO229_R370.avi	49708	33.51600	1	28.37067	-425.48141	-221.96200	-1333.25278	0.68330	0.55611	1.76315	0.30206	1416.99137	19.21014	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO229	23	IO229_L369.avi	50274	IO229_R370.avi	49708	33.51600	1	28.37067	-335.29730	-289.27532	-1295.51773	0.59401	0.59798	1.68873	0.33205	1369.11309	18.02161	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO229	25	IO229_L369.avi	50294	IO229_R370.avi	49728	33.52933	1	28.38400	629.80930	-216.50113	-1636.40694	1.04447	0.66749	2.56693	0.26858	1766.73715	21.74378	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO229	29	IO229_L369.avi	50321	IO229_R370.avi	49755	33.54733	1	28.40200	167.51716	-102.53643	-1910.77623	0.71729	0.70954	3.78338	1.30149	1920.84396	5.29246	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO229	34	IO229_L369.avi	51435	IO229_R370.avi	50869	34.29000	1	29.14467	-19.79032	273.00688	-2729.01953	0.92129	1.09106	7.64316	2.06879	2742.71253	7.06837	Serranidae	Caesioperca	sp1		1	AD	Passing			
IO229	35	IO229_L369.avi	51608	IO229_R370.avi	51042	34.40533	1	29.26000	1309.30669	346.65807	-3586.89376	4.32326	1.49041	12.36959	8.55572	3834.09216	21.06886	Serranidae	Caesioperca	sp1		1	AD	Passing			
IO229	39	IO229_L369.avi	52161	IO229_R370.avi	51595	34.77400	1	29.62867	1607.43923	698.08248	-5414.62264	8.22750	3.50756	28.59945	7.62678	5691.16142	18.50943	Serranidae	Caesioperca	sp1		1	AD	Passing			
IO229	41	IO229_L369.avi	66321	IO229_R370.avi	65755	44.21400	1	39.06867	-1039.37556	181.39472	-2730.91429	2.65114	0.95591	7.19614	1.65711	2927.64384	21.39408	Labridae	Bodianus	frenchii	37384057	1	AD	Passing			
IO229	44	IO229_L369.avi	77314	IO229_R370.avi	76748	51.54267	1	46.39733	1555.51126	107.78643	-4460.25949	6.40798	1.51941	19.12320	7.92534	4724.94952	19.40633	Labridae	Coris	auricularis	37384088	1	F	Passing			
IO229	46	IO229_L369.avi	77719	IO229_R370.avi	77153	51.81267	1	46.66733	103.48899	-186.38154	-1264.42139	0.45517	0.51387	1.68133	0.63239	1282.26733	8.42067	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
IO46	0	IO46_L369.avi	2216	IO46_R370.avi	1622	1.47733		-1.00000	-129.00244	-43.17395	-1110.23716	0.41154	0.38873	1.30810	7.74252	1118.54020	6.68112								sync		
IO46	4	IO46_L369.avi	18459	IO46_R370.avi	17865	12.30600	1	6.16933	-846.72140	-176.34424	-2237.30765	1.81324	0.88662	4.82815	0.36990	2398.66212	20.90091	Neosebastidae	Neosebastes	nigropunctatus	37287002	1	AD	Passing			
IO46	6	IO46_L369.avi	18611	IO46_R370.avi	18017	12.40733	1	6.27067	-798.42027	-110.53221	-3602.93298	2.96441	1.41574	13.00244	0.59968	3691.99382	12.49603	Neosebastidae	Neosebastes	nigropunctatus	37287002	1	AD	Passing			
IO46	7	IO46_L369.avi	18611	IO46_R370.avi	18017	12.40733	1	6.27067	-577.55811	-66.20369	-3995.45984	2.57718	1.52048	16.07957	5.39983	4037.53089	8.23360	Neosebastidae	Neosebastes	nigropunctatus	37287002	1	AD	Passing			
IO46	10	IO46_L369.avi	34958	IO46_R370.avi	34364	23.30533	1	17.16867	1368.53154	-34.70186	-4261.95728	5.50205	1.55429	17.68295	5.60176	4476.42297	17.82237	Pristiophoridae	Pristiophorus	cirratus	37023002	1	AD	Passing			
IO46	12	IO46_L369.avi	40748	IO46_R370.avi	40154	27.16533	1	21.02867	-1064.54200	327.70826	-2708.39165	2.65357	1.11216	7.01777	0.01599	2928.48556	22.78484	Oplegnathidae	Oplegnathus	woodwardi	37369002	1	AD	Passing			
IO46	13	IO46_L369.avi	79113	IO46_R370.avi	78519	52.74200	1	46.60533	170.78097	-37.35479	-1423.62135	0.54120	0.49610	2.12971	1.25167	1434.31491	6.84017	Monacanthidae	Nelusetta	ayraud	37465006	1	F	Passing			
IO46	14	IO46_L369.avi	79256	IO46_R370.avi	78662	52.83733	1	46.70067	-10.54940	163.52847	-1369.96003	0.47667	0.50217	1.98834	0.01953	1379.72582	8.16228	Monacanthidae	Nelusetta	ayraud	37465006	1	F	Passing			
IO47	0	IO47_L375.avi	18660	IO47_R376.avi	15710	12.44000	1	1.91200	816.78657	-38.47888	-1910.13833	1.49268	0.63990	3.58534	0.93355	2077.79916	23.15390	Gerreidae	Gerres	subfasciatus	37349005	1	AD	Passing			
IO47	3	IO47_L375.avi	68326	IO47_R376.avi	65376	45.55067	1	35.02267	-1112.12701	609.38356	-3514.62161	3.73760	2.25678	12.17615	2.41897	3736.40734	20.13536	Monacanthidae	Nelusetta	ayraud	37465006	1	M	Passing			
IO47	4	IO47_L375.avi	68326	IO47_R376.avi	65376	45.55067	1	35.02267	-83.74768	228.21191	-2195.03181	0.76703	0.87150	5.06411	0.07728	2208.45172	6.88612	Monacanthidae	Nelusetta	ayraud	37465006	1	M	Passing			
IO47	5	IO47_L375.avi	68326	IO47_R376.avi	65376	45.55067	1	35.02267	156.82408	-229.58090	-1226.84501	0.46442	0.52095	1.61836	0.63579	1257.95463	12.27784	Monacanthidae	Nelusetta	ayraud	37465006	1	M	Passing			
IO101	0	IO101_L367.avi	6333	IO101_R368.avi	4408	4.22200		-1.00000	8.70633	-111.20133	-770.49902	0.27489	0.28413	0.64379	6.69020	778.53084	7.36337								sync		
IO101	2	IO101_L367.avi	16810	IO101_R368.avi	14885	11.20667	1	4.82467	74.08821	-229.67578	-1233.88444	0.43714	0.52353	1.60979	13.14765	1257.26323	10.23551	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
IO101	4	IO101_L367.avi	49524	IO101_R368.avi	47599	33.01600	1	26.63400	-73.09487	-271.93430	-3511.41285	1.19527	1.64586	12.50131	35.09686	3522.68525	3.74497	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
IO102	0	IO102_L372.avi	6251	IO102_R371.avi	5607	4.16733		-1.00000	448.97409	117.96367	-541.32907	0.25101	0.22242	0.46527	3.44652	713.11312	40.83226								sync		
IO102	1	IO102_L372.avi	14081	IO102_R371.avi	13437	9.38733	1	1.65733	3496.32588	-60.51397	-3474.08415	16.90772	1.55582	17.27113	1.23649	4929.22076	45.17872	Ostraciidae	Aracana	aurita	37466003	1	F	Passing			
IO102	2	IO102_L372.avi	14512	IO102_R371.avi	13868	9.67467	1	1.94467	481.97596	-212.72659	-2277.27570	0.99578	0.79340	3.78038	11.03983	2337.42124	12.71258	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
IO102	3	IO102_L372.avi	16060	IO102_R371.avi	15416	10.70667	1	2.97667	417.08568	366.20806	-1683.97945	0.64818	0.66901	2.18550	19.01189	1773.09210	18.80072	Labridae	Achoerodus	gouldii	37384002	1	M	Passing			
IO102	7	IO102_L372.avi	24471	IO102_R371.avi	23827	16.31400	1	8.58400	320.96095	-270.16272	-2338.15956	0.73941	0.80146	3.47813	4.79668	2375.49868	9.65757	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
IO102	8	IO102_L372.avi	24471	IO102_R371.avi	23827	16.31400	1	8.58400	417.32234	-112.91021	-1421.82806	0.55717	0.47602	1.70352	16.69756	1486.10285	16.71424	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
IO102	9	IO102_L372.avi	24471	IO102_R371.avi	23827	16.31400	1	8.58400	381.79358	-204.50338	-1251.36490	0.44109	0.45767	1.33696	10.05311	1324.19865	18.71274	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
IO102	10	IO102_L372.avi	24471	IO102_R371.avi	23827	16.31400	1	8.58400	1010.37027	89.34193	-1996.02344	2.06264	0.71006	4.10698	1.92632	2238.95950	27.02312	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
IO102	11	IO102_L372.avi	24473	IO102_R371.avi	23829	16.31533	1	8.58533	407.66962	213.42779	-2524.40400	0.96439	0.78897	4.29806	1.07102	2566.00107	10.74125	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
IO102	16	IO102_L372.avi	24624	IO102_R371.avi	23980	16.41600	1	8.68600	1932.86925	186.96753	-2215.90647	5.60893	1.00176	6.69439	4.74006	2946.38454	41.31627	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
IO102	19	IO102_L372.avi	24755	IO102_R371.avi	24111	16.50333	1	8.77333	353.72023	-175.45120	-1845.44679	0.62292	0.60796	2.42488	1.62013	1887.21355	11.73058	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
IO102	21	IO102_L372.avi	24961	IO102_R371.avi	24317	16.64067	1	8.91067	405.94061	230.88325	-1358.83574	0.51757	0.48910	1.56696	21.64435	1436.84704	19.39083	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
IO102	23	IO102_L372.avi	39474	IO102_R371.avi	38830	26.31600	1	18.58600	789.68815	20.13038	-931.31662	0.90676	0.36897	1.26481	0.23848	1221.21384	40.33296	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
IO102	25	IO102_L372.avi	46672	IO102_R371.avi	46028	31.11467	1	23.38467	367.81231	322.68407	-1887.89557	0.65779	0.67829	2.53751	0.79396	1950.27193	15.09085	Labridae	Bodianus	frenchii	37384057	1	AD	Passing			
IO102	33	IO102_L372.avi	64178	IO102_R371.avi	63534	42.78533	1	35.05533	455.16532	-134.55701	-1778.46501	0.75081	0.59377	2.49608	11.65103	1840.71150	14.72829	Labridae	Ophthalmolepis	lineolatus	37384040	1	F	Passing			
IO102	34	IO102_L372.avi	64178	IO102_R371.avi	63534	42.78533	1	35.05533	1211.84519	256.28296	-1486.00778	2.25518	0.74095	2.97690	4.36717	1934.54616	39.99148	Labridae	Ophthalmolepis	lineolatus	37384040	1	F	Passing			
IO102	36	IO102_L372.avi	64225	IO102_R371.avi	63581	42.81667	1	35.08667	550.71503	82.78410	-1503.57558	0.79166	0.50172	2.07800	7.86390	1603.39633	20.46328	Labridae	Ophthalmolepis	lineolatus	37384040	1	F	Passing			
IO102	38	IO102_L372.avi	71583	IO102_R371.avi	70939	47.72200	1	39.99200	343.31949	38.51243	-1867.42059	0.62443	0.55489	2.47720	0.33762	1899.10799	10.60575	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO102	39	IO102_L372.avi	71586	IO102_R371.avi	70942	47.72400	1	39.99400	350.18937	-32.35595	-1410.35497	0.47249	0.43912	1.58467	1.51565	1453.54073	13.94914	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO102	41	IO102_L372.avi	71597	IO102_R371.avi	70953	47.73133	1	40.00133	341.39509	322.96363	-2110.10992	0.69905	0.73062	2.98891	0.54197	2161.80943	13.14066	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO102	44	IO102_L372.avi	71615	IO102_R371.avi	70971	47.74333	1	40.01333	573.91160	-173.75552	-1252.49943	0.70566	0.48918	1.59962	1.28316	1388.63974	25.35367	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO102	45	IO102_L372.avi	71616	IO102_R371.avi	70972	47.74400	1	40.01400	357.16613	280.93047	-1822.99426	0.62191	0.62993	2.38251	0.12108	1878.77557	14.52501	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO102	46	IO102_L372.avi	71625	IO102_R371.avi	70981	47.75000	1	40.02000	377.06183	-21.99326	-615.91249	0.21686	0.21630	0.50795	0.12296	722.50088	31.47974	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
IO102	53	IO102_L372.avi	89256	IO102_R371.avi	88612	59.50400	1	51.77400	499.16064	-188.33473	-1027.45193	0.49894	0.41278	1.12883	0.88592	1157.70841	27.15760	Urolophidae	Trygonoptera	ovalis	37038016	1	AD	Passing			
