Sample,Dataset,Number,Latitude,Longitude,Date,Time,Planned.or.exploratory,Site,Location,Status,Commonwealth.zone,State.zone,Depth,Observer,Successful.count,Successful.length,Maxn.checker,Left.cam,Right.cam,Rear.cam,Time.out,Video.notes,Raw.hdd.number,Con.hdd.number,Maxn.analyst,Maxn.complete.yyyymmdd,Notes,Habitat.image.saved,Habitat.backwards.image.saved,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd
FH18,FH,18,-33.79118897,114.8213721,20201012,13:19:00,MBH,C.FH.12,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.5,Daphne,Yes,Yes,Rachel - check kingfish,375,376,561,14:39,,RAW2,BU1,Daphne,20201221,,Yes,Yes,,,Rachel,20210125
FH26,FH,26,-33.81118897,114.8288721,20201012,15:10:00,MBH,C.FH.13,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.1,Daphne,Yes,check calibration,Rachel ,372,371,563,16:15,,RAW2,BU1,Daphne,20201222,Habitat images for 439 saved in 563 folder,Yes,No,,,Rachel,check calibration
FH27,FH,27,-33.83618897,114.8713721,20201012,15:39:00,MBH,C.FH.14,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42.9,Daphne,Yes,Yes,Rachel,373,374,440,16:55,,RAW2,BU1,Daphne,20201222,,Yes,Yes,,,Rachel,20210126
IO333,IO,333,-34.11301667,114.7251333,20201022,10:01:00,MBH,C.IO.9,South-west,No-take,National Park Zone,,127,Rachel,Yes,,,375,376,561,11:05,,RAW3,BU3,Rachel,20201221,Wobby ate bait bag off and dragged it,Yes,Yes,,,,
IO332,IO,332,-34.09718333,114.7344833,20201022,10:33:00,MBH,C.IO.10,South-west,No-take,National Park Zone,,124,Rachel,Yes,,,367,368,1208,11:58,,RAW3,BU3,Rachel,20201221,L brightness weird.,Yes,Yes,,,,
IO319,IO,319,-34.09368897,114.7313721,20201022,10:37:00,MBH,C.IO.10,South-west,No-take,National Park Zone,,124,Rachel,Yes,,,378,377,562,12:07,,RAW3,BU3,Rachel,20201220,,Yes,Yes,,,,
IO337,IO,337,-34.00536667,114.8202333,20201019,07:02:00,MBH,C.IO.21,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43,Daphne,Yes,"CALs shit, come back","Claude - check 2 x labridae spp, wobby, juvie swallowtail??",372,371,563,08:14,,RAW3,BU5.5,Daphne,20201222,Light didn't work,Yes,Yes,,,Claude,
IOREDO344,IO,REDO344,-34.0844,114.6744,20201123,07:12,MBH,C.IO.14,South-west,No-take,National Park Zone,,138,Daphne - finishes at 59:27,Yes,"CALs shit, come back","Claude - check pinguipedidae, gerres subfasciatus",367,368,1208,08:15,,RAW5,BU5.5,Daphne,20201229,Redone because first time 344 was done young Dean was off mark. Rear facing camera corrupt memory card,Yes,No,,,,
IO269,IO,269,-33.98868897,114.8138721,20201019,07:18:00,MBH,C.IO.22,South-west,Fished,Special Purpose Zone (Mining Exclusion),,47.6,Brooke Gibbons,Yes,Yes,"Claude - flavolineata, obliquus, sexfasciatus out of range",367,368,1208,08:37,,RAW3,BU5.5,Brooke Gibbons,20201217,,Yes,Yes,,,Claude,20210125
IO300,IO,300,-34.08618897,114.6688721,20201123,07:18,MBH,C.IO.14,South-west,No-take,National Park Zone,,138,Brooke Gibbons,Yes,Yes,"Claude - school unidentified not counted/measured, gerres subfasciatus",378,377,562,08:23,,RAW5,BU5.5,Brooke Gibbons,20201218,,Yes,Yes,,,Claude,20210125
IO58,IO,58,-34.13618897,114.7738721,20201022,07:21:00,MBH,C.IO.69,South-west,No-take,National Park Zone,,92.7,Brooke Gibbons,Yes,"CALs shit, come back",Claude - 2 unidentified species,367,368,1208,08:36,,RAW3,BU5.5,Brooke Gibbons,20201215,,Yes,Yes,,,Claude,
IO343,IO,343,-34.10261667,114.6407167,20201123,07:38,MBH,C.IO.15,South-west,No-take,National Park Zone,,140,Rachel,Yes,Yes,Claude,369,370,1207,08:40,,RAW5,BU5.5,Rachel,20210103,Skippy spot - lots of sampson fish,Yes,Yes,,,Claude,20210127
IO62,IO,62,-34.13368897,114.7663721,20201022,07:45:00,MBH,C.IO.69,South-west,No-take,National Park Zone,,105,Brooke Gibbons,Yes,Yes,Claude - check parapercis sp1,372,371,563,09:02,,RAW4,BU5.5,Brooke Gibbons,20210119,L out of focus. L cuts at 55 mins,Yes,Yes,,,Claude,20210127
IO282,IO,282,-34.14618897,114.5438721,20201029,07:20:00,MBH,C.IO.18,South-west,No-take,National Park Zone,,146,,No,No,,1203,1204,439,,,RAW4,,,,Lost to ocean. Not retrieved., ,No (No folder for this camera no),,,,
IO278,IO,278,-34.11118897,114.6388721,20201123,07:45,MBH,C.IO.15,South-west,No-take,National Park Zone,,140,Brooke Gibbons,Yes,Yes,"Claude - unideitified spp, gerres subfasciatus",372,371,563,09:05,,RAW5,BU5.5,Brooke Gibbons,20201218,Retreoved out of order (278 picked up before 277) - Still an hour deployment for 277 ,Yes,Yes,,,Claude,20210127
IO277,IO,277,-34.10618897,114.6463721,20201123,07:53,MBH,C.IO.15,South-west,No-take,National Park Zone,,139,Brooke Gibbons,Yes,Yes,Claude,373,374,440,08:55,,RAW5,BU5.5,Brooke Gibbons,20201218,R cam obstructed hard to measure,Yes,Yes,,,Claude,20210127
IO110,IO,110,-34.14118897,114.7288721,20201022,08:00:00,MBH,C.IO.68,South-west,No-take,National Park Zone,,128,Brooke Gibbons,Yes,Yes,"Claude - gerres, squalus, yellow shark",373,374,440,09:17,,RAW3,BU5.5,Brooke Gibbons,20201215,Baby sharks,Yes,Yes,,,Claude,20210127
IO98,IO,98,-34.13368897,114.7313721,20201022,08:13:00,MBH,C.IO.68,South-west,No-take,National Park Zone,,128,Daphne,Yes,Yes,"Claude - squalus, yellow shark",375,376,561,09:36,,RAW4,BU5.5,Daphne,20210119,"Not on BU4, need to back up on BU3 (BU4 is out of mem)",Yes,Yes,,,Claude,20210127
IO95,IO,95,-34.12618897,114.7338721,20201022,08:21:00,MBH,C.IO.68,South-west,No-take,National Park Zone,,124,Daphne,Yes,Yes,Claude - squalus,369,370,1207,09:46,,RAW4,BU5.5,Daphne,20210119,,Yes,Yes,,,Claude,20210127
IO264,IO,264,-34.01868897,114.8738721,20201019,09:31:00,MBH,C.IO.19,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42,Brooke Gibbons,Yes,Yes,"Claude - check Aspasmogaster occidentalis, probably cant id to species",373,374,440,10:36,,RAW3,BU5.5,Brooke Gibbons,20201217,,Yes,Yes,,,Claude,20210127
IO339,IO,339,-34.01461667,114.8785,20201019,09:41:00,MBH,C.IO.19,South-west,Fished,Special Purpose Zone (Mining Exclusion),,41.1,Daphne,Yes,Yes,Claude - check weird wrasse,375,376,561,10:51,,RAW3,BU5.5,Daphne,20201223,,Yes,Yes,,,Claude,20210127
IO352,IO,352,-34.03618897,114.5988721,20201123,09:43,MBH,C.IO.27,South-west,Fished,Special Purpose Zone (Mining Exclusion),,133,Rachel,Yes,Yes,"Claude - check sandbar shark, unidentified spp, callanthias australis - think these ones are in quite a few videos?",372,371,563,10:45,,RAW5,BU5.5,Rachel ,20210102,"check caesioperca, lepidoptera? Or maybe its a wrasse? ACTUALLY  Callanthias australis?",Yes,Yes,,,Claude,20210128
IO323,IO,323,-34.03103333,114.6001,20201123,09:48,MBH,C.IO.27,South-west,Fished,Special Purpose Zone (Mining Exclusion),,141,Daphne,Yes,Yes,Claude,373,374,440,10:50,,RAW5,BU5.5,Daphne,20201229,,Yes,Yes,,,Claude,20210128
IO263,IO,263,-34.00868897,114.8788721,20201019,09:52:00,MBH,C.IO.19,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42.4,Brooke Gibbons,Yes,Yes,"Claude - gerres subfasciatus, check callanthias australis juv",378,377,562,11:04,,RAW3,BU5.5,Brooke Gibbons,20201217,,Yes,Yes,,,Claude,20210128
IO307,IO,307,-34.11868897,114.7263721,20201022,09:56:00,MBH,C.IO.9,South-west,No-take,National Park Zone,,128,Daphne - finishes at 59:36,Yes,Yes,Claude,369,370,1207,10:57,,RAW3,BU5.5,Daphne,20201223,,Yes,Yes,,,Claude,20210128
IO350,IO,350,-34.02618897,114.6038721,20201123,09:56,MBH,C.IO.27,South-west,Fished,Special Purpose Zone (Mining Exclusion),,135,Brooke Gibbons,Yes,Yes,"Claude - 4 unknown, could be gerres?",369,370,1207,11:00,,RAW5,BU5.5,Brooke Gibbons,20211101,Need to back up right camera onto RAW5,Yes,Yes,,,Claude,20210128
IO369,IO,369,-34.02868897,114.5913721,20201123,10:08,MBH,C.IO.27,South-west,Fished,Special Purpose Zone (Mining Exclusion),,133,Rachel,Yes,Yes,Claude,375,376,561,11:14,,RAW5,BU5.5,Rachel,20210101,"check caesioperca, lepidoptera? ACTUALLY  Callanthias australis?",Yes,Yes,,,Claude,20210202
IO37,IO,37,-34.10868897,114.7188721,20201022,10:12:00,MBH,C.IO.55,South-west,No-take,National Park Zone,,130,Brooke Gibbons,Yes,Yes,"Claude - squalus, check haackei, yellow shark",373,374,440,11:24,,RAW3,BU5.5,Brooke Gibbons,20201214,Possibly too close spatially to 308. Skipped frames,Yes,Yes,,,Claude,20210201
IO351,IO,351,-34.03118897,114.5963721,20201123,10:13,MBH,C.IO.27,South-west,Fished,Special Purpose Zone (Mining Exclusion),,142,Daphne,Yes,Yes,Claude - yellow shark,378,377,562,11:23,,RAW5,BU5.5,Daphne,20210104,,Yes,Yes,,,Claude,20210201
IO40,IO,40,-34.10368897,114.7138721,20201022,10:17:00,MBH,C.IO.55,South-west,No-take,National Park Zone,,131,Brooke Gibbons,Yes,Yes,"Claude - squalus, yelllow shark, gerres subfasciatus, shark spp - whaler but not a sandbar",372,371,563,11:32,,RAW3,BU5.5,Brooke Gibbons,20201215,Skipped frames,Yes,Yes,,,Claude,20210201
IOCP2311,IO,CP2311,-34.01858,114.601465,20201123,10:19,Captains pick,,South-west,Fished,Special Purpose Zone (Mining Exclusion),,142,Daphne,Yes,"CALs shit, come back",Claude - yellow shark,367,368,1208,11:31,,RAW5,BU5.5,Daphne,20201231,Rear facing camera corrupt memory card,Yes,No,,,Claude,
FH37,FH,37,-33.71118897,114.8138721,20201012,11:03:00,MBH,C.FH.6,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.2,Daphne,Yes,Yes,Claude,373,374,440,12:07,,RAW2,BU5.5,Daphne,20210119,,Yes,Yes,,,Claude,20210201
IO338,IO,338,-33.97231667,114.92245,20201019,11:50:00,MBH,C.IO.20,South-west,Fished,,,46,Daphne,Yes,Yes,Claude,372,371,563,13:08,,RAW3,BU5.5,Daphne,20201223,,Yes,Yes,,,Claude,20210201
IO253,IO,253,-34.01368897,114.7038721,20201123,12:15,MBH,C.IO.49,South-west,Fished,Special Purpose Zone (Mining Exclusion),,124,Brooke Gibbons,Yes,Yes but shit CAL accepted errors ,"Claude - unidentified spp, not even sure its a fish?",367,368,1208,01:20,,RAW5,BU5.5,Brooke Gibbons,20201216,Rear facing camera corrupt memory card,Yes,No ,,,Claude,20210202
IO364,IO,364,-34.00868897,114.6888721,20201123,12:21,MBH,C.IO.24,South-west,Fished,Special Purpose Zone (Mining Exclusion),,130,Daphne,Yes,Yes,Claude - check caesioperca sp1 juv,378,377,562,01:28,,RAW5,BU5.5,Daphne,20201231,,Yes,Yes,,,Claude,20210202
IO180,IO,180,-33.99618897,114.7038721,20201123,12:36,MBH,C.IO.41,South-west,Fished,Special Purpose Zone (Mining Exclusion),,122,Brooke Gibbons,Yes,Yes,Claude,369,370,1207,01:50,,RAW5,BU5.5,Brooke Gibbons,20201216,,Yes,Yes,,,Claude,20210202
IOCP11-1,IO,CP11-1,-33.992845,114.696642,20201123,12:39,Captains pick,,South-west,Fished,Special Purpose Zone (Mining Exclusion),,124,Daphne,Yes,Yes,Claude,373,374,440,01:57,,RAW5,BU5.5,Daphne,20201231,,Yes,Yes,,,Claude,20210202
IOCP11-2,IO,CP11-2,-33.974332,114.692773,20201123,12:47,Captains pick,,South-west,Fished,Special Purpose Zone (Mining Exclusion),,124,Daphne,Yes,,Claude,372,371,563,02:07,,RAW5,BU5.5,Daphne,20201229,absolute bust up,Yes,Yes,,,Claude,
IO164,IO,164,-34.03368897,114.9038721,20201016,07:14:00,MBH,C.IO.62,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.1,Hayley ,Yes,check calibration,Daphne,367,368,1208,08:22,,RAW2,CON1,Hayley ,20210103,Light flooded,Yes,Yes,,,Daphne,20210120
IO184,IO,184,-34.04118897,114.9038721,20201016,07:19:00,MBH,C.IO.62,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.9,Hayley ,Yes,Yes,Brooke,369,370,1207,08:32,,RAW2,CON1,Hayley ,20210104,,Yes,Yes,,,Ramesh/Brooke,20210128
IO165,IO,165,-34.04368897,114.8988721,20201016,07:23:00,MBH,C.IO.62,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42.6,Hayley ,Yes,,,375,376,561,08:40,,RAW2,CON1,Hayley ,20210103,,Yes,Yes,,,Ramesh,20210128
IO374,IO,374,-33.98618897,114.7463721,20201015,07:31:00,MBH,C.IO.25,South-west,Fished,Special Purpose Zone (Mining Exclusion),,72.9,Hayley,Yes,,,378,377,562,08:47,,RAW2,CON1,Hayley ,20201229,,Yes,Yes,,,,
IO361,IO,361,-33.98868897,114.7413721,20201015,07:35:00,MBH,C.IO.25,South-west,Fished,Special Purpose Zone (Mining Exclusion),,84.7,Hayley,Yes,,,369,370,1207,08:54,,RAW2,CON1,Hayley ,20201229,,Yes,Yes,,,,
IO155,IO,155,-34.04368897,114.8838721,20201016,07:42:00,MBH,C.IO.65,South-west,Fished,Special Purpose Zone (Mining Exclusion),,41.9,Hayley ,Yes,,,373,374,440,08:50,,RAW2,CON1,Hayley ,20210103,,Yes,Yes,,,,
IO325,IO,325,-33.991557,114.743378,20201015,07:44:00,MBH,C.IO.25,South-west,Fished,Special Purpose Zone (Mining Exclusion),,85,Hayley ,Yes,,,375,376,561,09:04,,RAW2,CON1,Hayley ,20201228,tangled at surface and dragged then dropped,Yes,Yes,,,,
IOC06,IO,C06,-34.048689,114.876372,20201016,07:48:00,Captains pick,,South-west,Fished,Special Purpose Zone (Mining Exclusion),,41.5,Ramesh,Yes,,Brooke - double check galii in right cam when measuring,372,371,563,09:06,,RAW2,CON1,Ramesh,20210118,156 was too close to NPZ. Changed from IOCO4 to IOC06,Yes,Yes,,,,
IO266,IO,266,-34.02118897,114.7588721,20201015,08:06:00,MBH,C.IO.23,South-west,Fished,Special Purpose Zone (Mining Exclusion),,67.3,Hayley ,Yes,,,373,374,440,09:17,,RAW2,CON1,Hayley ,20210102,,Yes,Yes,,,,
IO327,IO,327,-34.02946667,114.7623833,20201015,08:17:00,MBH,C.IO.23,South-west,Fished,Special Purpose Zone (Mining Exclusion),,65.4,Hayley ,Yes,,,372,371,563,09:25,,RAW2,CON1,Hayley ,20201228,,Yes,Yes,,,,
IO210,IO,210,-34.09118897,114.8738721,20201016,10:09:00,MBH,C.IO.6,South-west,No-take,National Park Zone,,43.5,Hayley ,Yes,,Ramesh/Brooke - check weird wrasse with Todd,373,374,440,11:20,,RAW2,CON1,Hayley ,20210104,,Yes,Yes,,,Ramesh,20210128
IO17,IO,17,-34.06368897,114.8763721,20201016,08:07:00,MBH,C.IO.35,South-west,No-take,National Park Zone,,41.1,,,No,,378,377,562,09:29,,RAW2,CON1,,,Rope was tangled - not on bottom properly; memory card error in L,,Yes,,,,
IO334,IO,334,-34.06155,114.7753667,20201015,10:11:00,MBH,C.IO.8,South-west,No-take,National Park Zone,,64,Hayley ,Yes,,,372,371,563,11:20,,RAW2,CON1,Hayley ,20201229,,Yes,Yes,,,,
IO267,IO,267,-34.02618897,114.7638721,20201015,08:11:00,MBH,C.IO.23,South-west,Fished,Special Purpose Zone (Mining Exclusion),,62.5,,,No,,1205,1206,1209,09:37,,RAW2,,,,"snagged slightly, R was accidentally turned off during inserting",,Yes,,,,
IO312,IO,312,-34.05868897,114.7788721,20201015,10:17:00,MBH,C.IO.8,South-west,No-take,National Park Zone,,61.2,Hayley,Yes,,,373,374,440,11:26,,RAW2,CON1,Hayley ,20201227,,Yes,Yes,,,,
IO81,IO,81,-34.09868897,114.8913721,20201016,10:20:00,MBH,C.IO.52,South-west,No-take,National Park Zone,,42,Hayley ,Yes,,,375,376,561,11:35,,RAW2,CON1,Hayley ,20210102,Missing Backwards Habitat ,Yes,No,,,,
IO158,IO,158,-33.98118897,114.8188721,20201013,10:21:00,MBH,C.IO.33,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.6,Hayley,Yes,,,367,368,1208,11:42,,RAW2,CON1,Hayley ,20210105,in/out. hammerhead - No Backwards habitat ,Yes,No,,,,
IO207,IO,207,-34.06118897,114.7863721,20201015,10:23:00,MBH,C.IO.7,South-west,No-take,National Park Zone,,60.4,Hayley,Yes,,,378,377,562,11:36,,RAW2,CON1,Hayley ,20201221,,Yes,Yes,,,Ramesh,
IO145,IO,145,-33.98618897,114.8238721,20201013,10:24:00,MBH,C.IO.22,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.5,Hayley ,Yes,Yes,Daphne,373,374,440,11:50,,RAW2,CON1,Hayley ,20210105,in/out,Yes,Yes,,,Daphne,20210120
IO91,IO,91,-34.09368897,114.8938721,20201016,10:25:00,MBH,C.IO.52,South-west,No-take,National Park Zone,,43.5,Hayley ,Yes,,,369,370,1207,11:39,,RAW2,CON1,Hayley ,20210103,,Yes,Yes,,,,
IO80,IO,80,-34.09368897,114.8888721,20201016,10:30:00,MBH,C.IO.52,South-west,No-take,National Park Zone,,41.6,Hayley ,Yes,,,367,368,1208,11:45,,RAW2,CON1,Hayley ,20210102,,Yes,Yes,,,,
IO335,IO,335,-34.06686667,114.7939833,20201015,10:31:00,MBH,C.IO.7,South-west,No-take,National Park Zone,,58,Hayley,Yes,,,375,376,561,11:47,,RAW2,CON1,Hayley ,20201229,maxn right camera,Yes,Yes,,,,
IO204,IO,204,-34.06618897,114.7863721,20201015,10:35:00,MBH,C.IO.7,South-west,No-take,National Park Zone,,61.5,Hayley ,Yes,,,369,370,1207,11:55,,RAW2,CON1,Hayley ,20201221,,Yes,Yes,,,Ramesh,
IO3,IO,3,-34.07618897,114.7838721,20201015,12:03:00,MBH,C.IO.43,South-west,No-take,National Park Zone,,62,Hayley ,Yes,,,369,370,1207,13:04,,RAW2,CON1,Hayley ,20201218,Forgot time and depth but are good estimates - Pulls up at 59.12,Yes,Yes,,,,
FH32,FH,32,-33.69618897,114.9463721,20201017,08:50:00,MBH,C.FH.5,South-west,No-take,,Injidup Sanctuary Zone,42.9,,,No,,375,376,561,09:59,,RAW1,CON1/CON2,,,"L375 card didn't record, always was not on the bottom properly",,Yes,,,,
IO254,IO,254,-34.01868897,114.6963721,20201029,08:51:00,MBH,C.IO.49,South-west,Fished,Special Purpose Zone (Mining Exclusion),,129,,No,No,,375,376,561,,,RAW4,,,,Currents too strong. Pulled early. Retrieved.,,Yes,,,,
IO239,IO,239,-34.09118897,114.9313721,20201016,12:05:00,MBH,C.IO.1,South-west,No-take,,Cape Freycinet Sanctuary Zone,45.9,Hayley ,Yes,,,367,368,1208,13:06,,RAW2,CON1,Hayley ,20210105,,Yes,Yes,,,,
FH36,FH,36,-33.69868897,114.9338721,20201017,08:59:00,MBH,C.FH.5,South-west,No-take,,Injidup Sanctuary Zone,44.4,,No,No,,373,374,440,10:11,,RAW1,CON1/CON2,,,landed on side so unusable,,Yes,,,,
IO1,IO,1,-34.07868897,114.7788721,20201015,12:07:00,MBH,C.IO.43,South-west,No-take,National Park Zone,,64.6,Hayley,Yes,Yes,Daphne,375,376,561,13:11,,RAW2,CON1,Hayley ,20201218,,Yes,Yes,,,Daphne,20210119
IO357,IO,357,-34.08496667,114.928,20201016,12:08:00,MBH,C.IO.1,South-west,No-take,National Park Zone,,45.9,Hayley,Yes,,,369,370,1207,13:14,,RAW2,CON1,Hayley ,20210105,,Yes,Yes,,,,
IO237,IO,237,-34.08118897,114.9363721,20201016,12:15:00,MBH,C.IO.1,South-west,No-take,,Cape Freycinet Sanctuary Zone,43.2,Hayley,Yes,,,375,376,561,13:21,,RAW2,CON1,Hayley ,20210104,Missing Backwards habitat ,Yes,No,,,,
FH54,FH,54,-33.76618897,114.9388721,20201017,09:20:00,MBH,C.FH.9,South-west,Fished,,,43.2,,,No,,372,371,563,10:33,,RAW1,CON1/CON2,,,L372 card didn't record,,Yes,,,,
IO73,IO,73,-34.02868897,114.8588721,20201019,09:22:00,MBH,C.IO.60,South-west,Fished,Special Purpose Zone (Mining Exclusion),,40.4,Ramesh,Yes,No,Brooke Gibbons,372,371,563,10:27,,RAW3,CON2,Ramesh,20201201,L372 didn't record anything,,Yes,,,,
IO4,IO,4,-34.09118897,114.7813721,20201015,12:17:00,MBH,C.IO.43,South-west,No-take,National Park Zone,,65.6,Hayley,Yes,,,373,374,440,13:23,,RAW2,CON1,Hayley ,20201218,,Yes,Yes,,,,
IO152,IO,152,-33.98118897,114.8688721,20201013,12:18:00,MBH,C.IO.37,South-west,Fished,Special Purpose Zone (Mining Exclusion),,41.2,Hayley ,Yes,Yes,Daphne - check hippocrepis,373,374,440,13:24,,RAW2,CON1,Hayley ,20210105,,Yes,Yes,,,Daphne,20210120
IO218,IO,218,-34.07368897,114.9213721,20201016,12:28:00,MBH,C.IO.2,South-west,No-take,National Park Zone,,46.8,Hayley ,Yes,,,373,374,440,13:39,,RAW2,CON1,Hayley ,20210104,,Yes,Yes,,,Ramesh,
IO344,IO,344,-34.0844,114.6744,20201023,09:28:00,MBH,C.IO.14,South-west,No-take,National Park Zone,,138,,,No,,367,368,1208,10:36,,RAW4,CON3,,,L card failed to record,,Yes,,,,
IO215,IO,215,-34.06868897,114.9263721,20201016,12:34:00,MBH,C.IO.2,South-west,No-take,National Park Zone,,46.7,Hayley ,Yes,,,372,371,563,13:47,,RAW2,CON1,Hayley ,20210104,HAMMERHEAD,Yes,Yes,,,Ramesh,
IO125,IO,125,-34.10868897,114.8263721,20201015,12:38:00,MBH,C.IO.59,South-west,No-take,National Park Zone,,55.8,Hayley ,Yes,Yes,Daphne,378,377,562,13:55,,RAW2,CON1,Hayley ,20201220,,Yes,Yes,,,Daphne,20210120
IO123,IO,123,-34.10618897,114.8188721,20201015,12:42:00,MBH,C.IO.59,South-west,No-take,National Park Zone,,49.1,Hayley ,Yes,Yes,Daphne,372,371,563,14:02,,RAW2,CON1,Hayley ,20201220,,Yes,Yes,,,Daphne,20210119
IO132,IO,132,-33.99118897,114.8713721,20201013,12:47:00,MBH,C.IO.37,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42.6,Hayley ,Yes,Yes,Daphne,378,377,562,14:08,,RAW2,CON1,Hayley ,20210107,,Yes,Yes,,,Daphne,20210120
